"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Bochum",24.9,12,32.2,1.04,2010
"2","Hertha",24.3,18,30.8,0.994,2010
"3","Augsburg",24.7,14,25.1,0.784,2010
"4","Greuther Furth",23.3,14,23.33,0.686,2010
"5","Bielefeld",24,17,21.05,0.478,2010
"6","Munich 1860",22.2,13,20.93,0.566,2010
"7","Fortuna Dusseldorf",25.5,8,19.6,0.754,2010
"8","Karlsruhe",24,12,18.93,0.44,2010
"9","Aachen",24,13,16.73,0.492,2010
"10","Cottbus",23.5,13,15.88,0.512,2010
"11","Duisburg",24.1,18,15.8,0.545,2010
"12","Union Berlin",24,10,13.5,0.422,2010
"13","Ingolstadt",25.5,9,13,0.406,2010
"14","Oberhausen",24.8,6,11.65,0.364,2010
"15","Frankfurt FSV",24.5,11,11.5,0.411,2010
"16","Paderborn",24.2,8,11.43,0.394,2010
"17","Osnabruck",25.1,9,10.55,0.377,2010
"18","Erzgebirge Aue",24.9,5,10.08,0.347,2010
"19","Bochum",24.9,12,32.2,1.04,2010
"20","Hertha",24.3,18,30.8,0.994,2010
"21","Augsburg",24.7,14,25.1,0.784,2010
"22","Greuther Furth",23.3,14,23.33,0.686,2010
"23","Bielefeld",24,17,21.05,0.478,2010
"24","Munich 1860",22.2,13,20.93,0.566,2010
"25","Fortuna Dusseldorf",25.5,8,19.6,0.754,2010
"26","Karlsruhe",24,12,18.93,0.44,2010
"27","Aachen",24,13,16.73,0.492,2010
"28","Cottbus",23.5,13,15.88,0.512,2010
"29","Duisburg",24.1,18,15.8,0.545,2010
"30","Union Berlin",24,10,13.5,0.422,2010
"31","Ingolstadt",25.5,9,13,0.406,2010
"32","Oberhausen",24.8,6,11.65,0.364,2010
"33","Frankfurt FSV",24.5,11,11.5,0.411,2010
"34","Paderborn",24.2,8,11.43,0.394,2010
"35","Osnabruck",25.1,9,10.55,0.377,2010
"36","Erzgebirge Aue",24.9,5,10.08,0.347,2010
"37","Ein Frankfurt",24.3,18,51.4,1.43,2011
"38","St Pauli",24.8,6,25.6,0.853,2011
"39","Cottbus",24.2,12,22.55,0.705,2011
"40","Bochum",24.3,10,21.33,0.666,2011
"41","Fortuna Dusseldorf",24.3,11,20.08,0.692,2011
"42","Greuther Furth",24.2,11,19.58,0.699,2011
"43","Munich 1860",24.1,8,19.5,0.629,2011
"44","Aachen",24.3,10,19.3,0.568,2011
"45","Ingolstadt",26.1,10,18.25,0.57,2011
"46","Duisburg",24.1,19,17.93,0.598,2011
"47","Karlsruhe",24.8,16,16.7,0.439,2011
"48","Dresden",24.8,11,16.55,0.534,2011
"49","Frankfurt FSV",24.3,17,14.85,0.45,2011
"50","Erzgebirge Aue",24.7,3,14,0.519,2011
"51","Hansa Rostock",24.1,6,11.95,0.412,2011
"52","Union Berlin",23.9,8,10.8,0.386,2011
"53","Paderborn",24.3,7,10.68,0.411,2011
"54","Braunschweig",24.2,9,8.18,0.282,2011
"55","Hertha",23.8,15,38.58,1.24,2012
"56","Kaiserslautern",24.4,17,36.03,0.974,2012
"57","FC Koln",23,15,28.03,0.904,2012
"58","Munich 1860",24.5,11,23.85,0.723,2012
"59","Ingolstadt",26.2,12,18.18,0.586,2012
"60","Dresden",23.9,14,17.13,0.591,2012
"61","Duisburg",24.7,14,16.45,0.531,2012
"62","St Pauli",24.3,3,15.53,0.575,2012
"63","Union Berlin",24.5,9,15.3,0.546,2012
"64","Bochum",24.1,9,15.1,0.458,2012
"65","Cottbus",25,11,14.9,0.466,2012
"66","Braunschweig",24.5,11,14.6,0.521,2012
"67","Erzgebirge Aue",25.3,5,14.4,0.533,2012
"68","Frankfurt FSV",23.1,12,14.08,0.44,2012
"69","Paderborn",23.8,8,12.93,0.462,2012
"70","Sandhausen",26,10,12.9,0.416,2012
"71","Regensburg",24.2,10,8.95,0.28,2012
"72","Aalen",25.7,7,8.78,0.338,2012
"73","Kaiserslautern",24.2,16,32.78,1.02,2013
"74","Fortuna Dusseldorf",23.8,23,28,0.757,2013
"75","FC Koln",23.1,14,24.95,0.832,2013
"76","Greuther Furth",23.5,11,21.5,0.796,2013
"77","Union Berlin",24.8,9,16.73,0.558,2013
"78","St Pauli",24.2,5,16.58,0.614,2013
"79","Munich 1860",24.7,7,16.25,0.542,2013
"80","Ingolstadt",25.3,13,15.38,0.569,2013
"81","Frankfurt FSV",24.2,13,14.7,0.507,2013
"82","Cottbus",24.3,16,14.65,0.431,2013
"83","Erzgebirge Aue",25.6,10,13.35,0.417,2013
"84","Bochum",23.9,7,13.3,0.38,2013
"85","Dresden",25.1,12,13.3,0.493,2013
"86","Bielefeld",24.2,5,12.4,0.335,2013
"87","Paderborn",24,7,12.25,0.408,2013
"88","Sandhausen",25,7,9.9,0.341,2013
"89","Karlsruhe",23.3,7,9.78,0.326,2013
"90","Aalen",25.7,8,7.85,0.28,2013
"91","Nurnberg",22.9,21,30.95,0.836,2014
"92","Greuther Furth",23.1,18,25.15,0.629,2014
"93","Fortuna Dusseldorf",24.3,13,24.73,0.824,2014
"94","RB Leipzig",23.3,15,23.3,0.666,2014
"95","Kaiserslautern",22.8,11,22.98,0.766,2014
"96","Munich 1860",24.4,18,22.45,0.624,2014
"97","St Pauli",23.9,8,21.1,0.603,2014
"98","Braunschweig",24.5,14,19.6,0.613,2014
"99","Ingolstadt",24.2,12,16.53,0.551,2014
"100","Union Berlin",24.2,11,15.58,0.502,2014
"101","Bochum",23.5,11,15.2,0.461,2014
"102","Karlsruhe",24,9,14.75,0.476,2014
"103","Frankfurt FSV",25.2,14,13.55,0.437,2014
"104","Erzgebirge Aue",24.4,12,13.4,0.362,2014
