"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Bayern Munich",24.7,17,284.5,9.18,2010
"2","Wolfsburg",24.8,25,210.73,6.2,2010
"3","Leverkusen",24.1,12,146.65,4.89,2010
"4","Werder Bremen",24,18,146.55,3.86,2010
"5","Schalke 04",24.2,23,139.65,3.88,2010
"6","Hamburg",24.9,20,132.23,4.41,2010
"7","Dortmund",23.8,15,114.65,3.7,2010
"8","Stuttgart",24.3,17,106.65,3.23,2010
"9","Hoffenheim",22.8,19,98.35,2.89,2010
"10","M'gladbach",24.8,19,69.3,2.04,2010
"11","FC Koln",24.2,19,62.48,1.64,2010
"12","Ein Frankfurt",24.2,15,56.6,1.83,2010
"13","Mainz",25.9,15,45.55,1.63,2010
"14","Hannover",25.1,14,44.63,1.59,2010
"15","Freiburg",24.3,20,42.8,1.34,2010
"16","Nurnberg",23.5,14,38.98,1.22,2010
"17","Kaiserslautern",23.9,18,37.23,1.24,2010
"18","St Pauli",25.8,3,29.9,0.997,2010
"19","Bayern Munich",24.7,17,284.5,9.18,2010
"20","Wolfsburg",24.8,25,210.73,6.2,2010
"21","Leverkusen",24.1,12,146.65,4.89,2010
"22","Werder Bremen",24,18,146.55,3.86,2010
"23","Schalke 04",24.2,23,139.65,3.88,2010
"24","Hamburg",24.9,20,132.23,4.41,2010
"25","Dortmund",23.8,15,114.65,3.7,2010
"26","Stuttgart",24.3,17,106.65,3.23,2010
"27","Hoffenheim",22.8,19,98.35,2.89,2010
"28","M'gladbach",24.8,19,69.3,2.04,2010
"29","FC Koln",24.2,19,62.48,1.64,2010
"30","Ein Frankfurt",24.2,15,56.6,1.83,2010
"31","Mainz",25.9,15,45.55,1.63,2010
"32","Hannover",25.1,14,44.63,1.59,2010
"33","Freiburg",24.3,20,42.8,1.34,2010
"34","Nurnberg",23.5,14,38.98,1.22,2010
"35","Kaiserslautern",23.9,18,37.23,1.24,2010
"36","St Pauli",25.8,3,29.9,0.997,2010
"37","Bayern Munich",25.1,11,335.6,13.98,2011
"38","Dortmund",23.8,11,158.2,5.65,2011
"39","Leverkusen",23.3,9,151.1,5.21,2011
"40","Schalke 04",23.9,20,136.73,3.7,2011
"41","Werder Bremen",23.3,17,125.35,3.3,2011
"42","Wolfsburg",24.9,28,122,2.77,2011
"43","Hamburg",23.1,24,103.2,2.87,2011
"44","Stuttgart",24.3,18,101.88,3.18,2011
"45","Hoffenheim",23,20,93.6,2.75,2011
"46","FC Koln",24.2,17,69.29,2.24,2011
"47","Hannover",24.7,17,68.85,2.22,2011
"48","M'gladbach",23.4,15,59.08,2.11,2011
"49","Freiburg",24.2,17,57.4,1.69,2011
"50","Mainz",24.7,18,55.1,1.84,2011
"51","Hertha",23.5,17,50.35,1.68,2011
"52","Kaiserslautern",23.2,21,50.05,1.39,2011
"53","Nurnberg",23.2,12,43.18,1.44,2011
"54","Augsburg",25.2,15,34.98,1.09,2011
"55","Bayern Munich",24.5,13,407.3,14.55,2012
"56","Dortmund",23.3,10,227.68,7.85,2012
"57","Schalke 04",24.3,17,171,6.11,2012
"58","Wolfsburg",25,25,120.33,3.54,2012
"59","Leverkusen",22.8,11,115.9,3.62,2012
"60","Hamburg",24.4,18,110.6,3.95,2012
"61","Stuttgart",24.6,19,102.03,3.19,2012
"62","Hannover",24.9,19,88,2.75,2012
"63","Hoffenheim",22.8,24,85.03,2.02,2012
"64","M'gladbach",23.7,14,81,3,2012
"65","Werder Bremen",22.5,14,79.2,2.48,2012
"66","Ein Frankfurt",24.4,13,51.2,1.65,2012
