"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Leicester",23.7,16,68.08,1.33,2010
"2","Middlesbrough",23.5,8,60.7,1.48,2010
"3","Cardiff",25.1,16,58.05,1.57,2010
"4","Hull",24.7,10,53.6,1.25,2010
"5","Nott'm Forest",23.5,7,48.15,1.38,2010
"6","QPR",25,11,47.9,1.09,2010
"7","Portsmouth",25.5,3,41,1.32,2010
"8","Burnley",23.8,8,39.23,1.03,2010
"9","Ipswich",23.5,13,38.45,0.836,2010
"10","Sheffield United",24,14,36.63,0.691,2010
"11","Preston",23.4,13,34.03,0.681,2010
"12","Leeds",24.7,12,31.78,0.722,2010
"13","Swansea",24.1,15,30.15,0.701,2010
"14","Barnsley",23.2,2,26.33,0.642,2010
"15","Derby",24.3,8,25.85,0.588,2010
"16","Bristol City",23.7,9,25.45,0.621,2010
"17","Reading",22.7,15,23.6,0.524,2010
"18","Crystal Palace",23.7,6,23.4,0.571,2010
"19","Norwich",23.5,5,21.43,0.564,2010
"20","Doncaster",24.3,1,19.65,0.479,2010
"21","Millwall",24.8,4,18.78,0.469,2010
"22","Coventry",22.8,9,18.55,0.452,2010
"23","Scunthorpe",23,5,15.68,0.348,2010
"24","Watford",20.8,5,13.08,0.327,2010
"25","Leicester",23.7,16,68.08,1.33,2010
"26","Middlesbrough",23.5,8,60.7,1.48,2010
"27","Cardiff",25.1,16,58.05,1.57,2010
"28","Hull",24.7,10,53.6,1.25,2010
"29","Nott'm Forest",23.5,7,48.15,1.38,2010
"30","QPR",25,11,47.9,1.09,2010
"31","Portsmouth",25.5,3,41,1.32,2010
"32","Burnley",23.8,8,39.23,1.03,2010
"33","Ipswich",23.5,13,38.45,0.836,2010
"34","Sheffield United",24,14,36.63,0.691,2010
"35","Preston",23.4,13,34.03,0.681,2010
"36","Leeds",24.7,12,31.78,0.722,2010
"37","Swansea",24.1,15,30.15,0.701,2010
"38","Barnsley",23.2,2,26.33,0.642,2010
"39","Derby",24.3,8,25.85,0.588,2010
"40","Bristol City",23.7,9,25.45,0.621,2010
"41","Reading",22.7,15,23.6,0.524,2010
"42","Crystal Palace",23.7,6,23.4,0.571,2010
"43","Norwich",23.5,5,21.43,0.564,2010
"44","Doncaster",24.3,1,19.65,0.479,2010
"45","Millwall",24.8,4,18.78,0.469,2010
"46","Coventry",22.8,9,18.55,0.452,2010
"47","Scunthorpe",23,5,15.68,0.348,2010
"48","Watford",20.8,5,13.08,0.327,2010
"49","West Ham",23.8,10,121.63,2.53,2011
"50","Birmingham",23.6,20,58.6,1.43,2011
"51","Leicester",25.1,7,47.38,1.25,2011
"52","Nott'm Forest",24.2,8,43.95,1.19,2011
"53","Doncaster",25.6,10,41.13,0.823,2011
"54","Ipswich",25.1,18,36.63,0.939,2011
"55","Middlesbrough",23.4,7,35.93,0.998,2011
"56","Blackpool",24.1,11,35.88,0.797,2011
"57","Bristol City",24.5,9,34.53,0.822,2011
"58","Leeds",25.2,8,33.9,0.848,2011
"59","Burnley",23.1,8,32.65,0.859,2011
"60","Cardiff",23.6,21,32.05,0.866,2011
"61","Portsmouth",24,9,31.9,0.862,2011
"62","Hull",24.1,18,29.13,0.747,2011
"63","Reading",22.7,16,27.65,0.522,2011
"64","Crystal Palace",22.8,10,25.88,0.563,2011
"65","Southampton",23.9,3,25.88,0.663,2011
"66","Watford",22.3,19,22.5,0.549,2011
"67","Brighton",23.9,19,19.48,0.464,2011
"68","Barnsley",23.2,2,17.48,0.426,2011
"69","Millwall",24.8,3,16.75,0.419,2011
"70","Derby",23.2,6,16.05,0.401,2011
"71","Coventry",22.6,3,12.23,0.349,2011
"72","Peterboro",21.9,17,8.75,0.224,2011
"73","Wolves",23.2,23,88.3,1.55,2012
