"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Le Mans",22.6,18,27.95,0.873,2010
"2","Nantes",22.4,25,23.3,0.555,2010
"3","Grenoble",23.1,12,19.38,0.587,2010
"4","Boulogne",24.9,11,17.98,0.62,2010
"5","Tours",23.3,12,15.08,0.538,2010
"6","Le Havre",22.8,12,15,0.517,2010
"7","Metz",23.3,22,14.23,0.384,2010
"8","Chateauroux",23.2,10,13.85,0.396,2010
"9","Vannes",24.2,8,13.5,0.338,2010
"10","Sedan",22.5,12,13.05,0.544,2010
"11","Angers",25.6,6,12.7,0.438,2010
"12","Nimes",24.1,20,12.25,0.331,2010
"13","Evian Thonon Gaillard",25.7,11,11.6,0.414,2010
"14","Troyes",23.7,10,11.55,0.373,2010
"15","Laval",24.5,6,9.9,0.319,2010
"16","Dijon",23.4,10,9.25,0.319,2010
"17","Reims",24,10,9.05,0.312,2010
"18","Clermont",24.5,11,8.75,0.313,2010
"19","Istres",24.6,12,8.4,0.311,2010
"20","Ajaccio",24.5,8,7.85,0.302,2010
"21","Le Mans",22.6,18,27.95,0.873,2010
"22","Nantes",22.4,25,23.3,0.555,2010
"23","Grenoble",23.1,12,19.38,0.587,2010
"24","Boulogne",24.9,11,17.98,0.62,2010
"25","Tours",23.3,12,15.08,0.538,2010
"26","Le Havre",22.8,12,15,0.517,2010
"27","Metz",23.3,22,14.23,0.384,2010
"28","Chateauroux",23.2,10,13.85,0.396,2010
"29","Vannes",24.2,8,13.5,0.338,2010
"30","Sedan",22.5,12,13.05,0.544,2010
"31","Angers",25.6,6,12.7,0.438,2010
"32","Nimes",24.1,20,12.25,0.331,2010
"33","Evian Thonon Gaillard",25.7,11,11.6,0.414,2010
"34","Troyes",23.7,10,11.55,0.373,2010
"35","Laval",24.5,6,9.9,0.319,2010
"36","Dijon",23.4,10,9.25,0.319,2010
"37","Reims",24,10,9.05,0.312,2010
"38","Clermont",24.5,11,8.75,0.313,2010
"39","Istres",24.6,12,8.4,0.311,2010
"40","Ajaccio",24.5,8,7.85,0.302,2010
"41","Monaco",23.6,44,45.95,1.04,2011
"42","Lens",23.6,15,26.1,0.842,2011
"43","Nantes",24,16,18.3,0.523,2011
"44","Le Havre",22.5,10,14.9,0.552,2011
"45","Arles",24.9,14,14.6,0.417,2011
"46","Sedan",24,12,12.9,0.516,2011
"47","Metz",22.4,21,12.58,0.331,2011
"48","Boulogne",23.3,11,12.45,0.389,2011
"49","Le Mans",22.5,23,12.15,0.368,2011
"50","Tours",23.8,10,11.75,0.452,2011
"51","Guingamp",23.9,11,11.55,0.398,2011
"52","Troyes",23.8,10,9.95,0.369,2011
"53","Angers",25.5,10,9.65,0.302,2011
"54","Chateauroux",23.9,8,9.4,0.324,2011
"55","Reims",24.2,15,9.3,0.3,2011
"56","Clermont",23.6,13,9.13,0.304,2011
"57","Istres",24.2,13,8.55,0.276,2011
"58","Laval",24.9,2,7.1,0.284,2011
"59","Amiens",24.6,17,6.65,0.196,2011
"60","Bastia",24.5,7,6.4,0.237,2011
"61","Monaco",24.2,34,53.15,1.56,2012
"62","Auxerre",22.2,17,29,0.763,2012
"63","Dijon",23.1,13,24.85,0.71,2012
"64","Caen",24.5,15,17,0.607,2012
"65","Nantes",22.9,18,14.65,0.444,2012
"66","Le Havre",23.4,10,14.5,0.518,2012
"67","Arles",25.7,13,13.33,0.404,2012
"68","Sedan",23.6,17,13.15,0.453,2012
"69","Lens",23,13,12.15,0.419,2012
"70","Guingamp",25.5,9,11.85,0.456,2012
