"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Porto",23.6,4,150.6,5.02,2010
"2","Sp Lisbon",25.5,2,125.85,3.93,2010
"3","Benfica",24.5,5,120.55,4.16,2010
"4","Sp Braga",25.8,9,62.95,1.7,2010
"5","Guimaraes",24.6,6,30.65,0.807,2010
"6","Maritimo",24.2,10,29.63,0.658,2010
"7","Nacional",24.3,7,21.23,0.685,2010
"8","Academica",24.5,1,20.6,0.736,2010
"9","Rio Ave",26,11,17.9,0.617,2010
"10","Olhanense",25.1,6,16.55,0.447,2010
"11","Setubal",25.6,6,16.53,0.533,2010
"12","Uniao de Leiria",25.1,8,14.5,0.426,2010
"13","Portimonense",24.8,5,14.25,0.432,2010
"14","Naval 1o de Maio",25.2,3,12.48,0.402,2010
"15","Pacos Ferreira",24.5,1,9.8,0.338,2010
"16","Beira Mar",24,2,8.35,0.269,2010
"17","Porto",23.6,4,150.6,5.02,2010
"18","Sp Lisbon",25.5,2,125.85,3.93,2010
"19","Benfica",24.5,5,120.55,4.16,2010
"20","Sp Braga",25.8,9,62.95,1.7,2010
"21","Guimaraes",24.6,6,30.65,0.807,2010
"22","Maritimo",24.2,10,29.63,0.658,2010
"23","Nacional",24.3,7,21.23,0.685,2010
"24","Academica",24.5,1,20.6,0.736,2010
"25","Rio Ave",26,11,17.9,0.617,2010
"26","Olhanense",25.1,6,16.55,0.447,2010
"27","Setubal",25.6,6,16.53,0.533,2010
"28","Uniao de Leiria",25.1,8,14.5,0.426,2010
"29","Portimonense",24.8,5,14.25,0.432,2010
"30","Naval 1o de Maio",25.2,3,12.48,0.402,2010
"31","Pacos Ferreira",24.5,1,9.8,0.338,2010
"32","Beira Mar",24,2,8.35,0.269,2010
"33","Porto",23.9,15,244.6,7.64,2011
"34","Benfica",23.9,5,150.75,4.71,2011
"35","Sp Lisbon",23.4,6,129.25,3.49,2011
"36","Sp Braga",25.7,7,68.1,2,2011
"37","Guimaraes",25.6,14,30.05,0.969,2011
"38","Nacional",24,15,25.65,0.693,2011
"39","Setubal",26.2,1,24.35,0.738,2011
"40","Academica",24.4,3,19.25,0.583,2011
"41","Maritimo",24.8,8,19.2,0.64,2011
"42","Rio Ave",26.2,2,17.9,0.577,2011
"43","Beira Mar",23.9,13,16.3,0.479,2011
"44","Uniao de Leiria",22.6,16,15.4,0.376,2011
"45","Olhanense",25.5,13,15.1,0.503,2011
"46","Gil Vicente",25.4,3,11.4,0.356,2011
"47","Pacos Ferreira",24.1,4,11,0.333,2011
"48","Feirense",23.8,12,10.6,0.366,2011
"49","Porto",23.9,19,201.45,6.72,2012
"50","Benfica",24.8,19,173.6,5.43,2012
"51","Sp Lisbon",22.4,9,115.85,2.97,2012
"52","Sp Braga",25.8,5,74.2,2.18,2012
"53","Rio Ave",23.5,18,23.75,0.792,2012
"54","Nacional",22.8,5,20.45,0.62,2012
"55","Beira Mar",24.5,1,20.35,0.678,2012
"56","Estoril",24.2,18,20,0.69,2012
"57","Maritimo",24.3,19,19.45,0.556,2012
"58","Olhanense",25.2,3,18.48,0.513,2012
"59","Guimaraes",22.4,5,17.3,0.481,2012
"60","Academica",24.7,14,16.43,0.548,2012
"61","Gil Vicente",26.1,14,15.8,0.465,2012
"62","Moreirense",25.9,3,13.58,0.453,2012
"63","Pacos Ferreira",25,12,13.15,0.47,2012
"64","Setubal",25.9,17,13,0.464,2012
"65","Benfica",25.1,7,206.6,7.38,2013
"66","Porto",23.6,16,180.8,5.02,2013
"67","Sp Lisbon",23,6,94.8,2.87,2013
"68","Sp Braga",23.7,15,81.7,1.82,2013
"69","Rio Ave",23.4,5,29.85,0.807,2013
"70","Nacional",23,6,24.05,0.707,2013
"71","Maritimo",24.2,7,22.75,0.632,2013
"72","Pacos Ferreira",25.5,18,22.55,0.644,2013
"73","Estoril",24.2,1,20.75,0.692,2013
"74","Guimaraes",23.1,18,20.75,0.669,2013
"75","Academica",25.6,3,19.95,0.665,2013
"76","Arouca",25.3,12,19.75,0.681,2013
"77","Gil Vicente",24.8,14,18.9,0.556,2013
"78","Belenenses",24.6,13,18.25,0.507,2013
"79","Olhanense",24.5,7,15.6,0.473,2013
"80","Setubal",24.2,12,15.4,0.481,2013
