"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Atalanta",25,8,51.6,1.36,2010
"2","Torino",24.1,14,39.13,0.851,2010
"3","Siena",24.9,12,30.95,0.755,2010
"4","Frosinone",23.8,9,23.8,0.496,2010
"5","Livorno",23.4,9,22.85,0.635,2010
"6","Sassuolo",24,4,22.45,0.548,2010
"7","Padova",22.6,13,21.75,0.494,2010
"8","Reggina",23.1,12,21.63,0.481,2010
"9","Vicenza",23.3,10,20.1,0.447,2010
"10","Grosseto",23.7,11,18.7,0.407,2010
"11","Empoli",21.8,8,17.4,0.446,2010
"12","Ascoli",23,8,15.75,0.394,2010
"13","Crotone",23.5,10,14.63,0.43,2010
"14","Piacenza",23.1,4,14.55,0.404,2010
"15","Triestina",23.1,11,12.65,0.264,2010
"16","Pescara",24.1,2,12.28,0.261,2010
"17","Modena",23.1,4,11,0.289,2010
"18","Cittadella",25.8,5,10.75,0.326,2010
"19","Albinoleffe",23.3,5,10.2,0.217,2010
"20","Varese",23.4,15,9.58,0.223,2010
"21","Portogruaro",23.7,5,9.2,0.214,2010
"22","Novara",26.2,11,8.53,0.251,2010
"23","Atalanta",25,8,51.6,1.36,2010
"24","Torino",24.1,14,39.13,0.851,2010
"25","Siena",24.9,12,30.95,0.755,2010
"26","Frosinone",23.8,9,23.8,0.496,2010
"27","Livorno",23.4,9,22.85,0.635,2010
"28","Sassuolo",24,4,22.45,0.548,2010
"29","Padova",22.6,13,21.75,0.494,2010
"30","Reggina",23.1,12,21.63,0.481,2010
"31","Vicenza",23.3,10,20.1,0.447,2010
"32","Grosseto",23.7,11,18.7,0.407,2010
"33","Empoli",21.8,8,17.4,0.446,2010
"34","Ascoli",23,8,15.75,0.394,2010
"35","Crotone",23.5,10,14.63,0.43,2010
"36","Piacenza",23.1,4,14.55,0.404,2010
"37","Triestina",23.1,11,12.65,0.264,2010
"38","Pescara",24.1,2,12.28,0.261,2010
"39","Modena",23.1,4,11,0.289,2010
"40","Cittadella",25.8,5,10.75,0.326,2010
"41","Albinoleffe",23.3,5,10.2,0.217,2010
"42","Varese",23.4,15,9.58,0.223,2010
"43","Portogruaro",23.7,5,9.2,0.214,2010
"44","Novara",26.2,11,8.53,0.251,2010
"45","Sampdoria",24.4,16,74.18,1.77,2011
"46","Torino",25.4,10,31.95,0.94,2011
"47","Bari",23.5,18,25.58,0.544,2011
"48","Brescia",22.7,17,25.28,0.602,2011
"49","Padova",23.2,11,22.23,0.542,2011
"50","Reggina",23.2,9,18.5,0.43,2011
"51","Empoli",22.8,10,18.08,0.452,2011
"52","Sassuolo",24.1,4,17.8,0.434,2011
"53","Varese",24.4,10,17.05,0.437,2011
