"","Club","Age","Foreign","Total_value","Market_value","Sezon"
"1","Barcelona",23.8,12,561.1,16.5,2010
"2","Real Madrid",23.3,16,506.9,13.34,2010
"3","Sevilla",24.4,19,225.15,6.43,2010
"4","Ath Madrid",24.1,10,196.6,6.55,2010
"5","Valencia",25.4,13,178.1,5.57,2010
"6","Villarreal",24.3,13,145.1,4.27,2010
"7","Ath Bilbao",24.2,1,98.3,3.28,2010
"8","Malaga",25.5,18,82.6,2.23,2010
"9","La Coruna",25.5,10,74.35,2.25,2010
"10","Getafe",24.4,7,68.6,2.37,2010
"11","Zaragoza",25.1,16,67,2.23,2010
"12","Osasuna",27.1,6,66.55,2.29,2010
"13","Almeria",24.9,16,64.35,2.22,2010
"14","Santander",25,12,62.35,2.08,2010
"15","Hercules",25.8,12,61.55,1.92,2010
"16","Espanol",23.3,11,61.1,1.75,2010
"17","Sp Gijon",24.8,5,57.6,1.75,2010
"18","Mallorca",25.1,13,54.23,2.01,2010
"19","Sociedad",24.8,6,43.5,1.67,2010
"20","Levante",25.7,7,27.3,0.827,2010
"21","Barcelona",23.8,12,561.1,16.5,2010
"22","Real Madrid",23.3,16,506.9,13.34,2010
"23","Sevilla",24.4,19,225.15,6.43,2010
"24","Ath Madrid",24.1,10,196.6,6.55,2010
"25","Valencia",25.4,13,178.1,5.57,2010
"26","Villarreal",24.3,13,145.1,4.27,2010
"27","Ath Bilbao",24.2,1,98.3,3.28,2010
"28","Malaga",25.5,18,82.6,2.23,2010
"29","La Coruna",25.5,10,74.35,2.25,2010
"30","Getafe",24.4,7,68.6,2.37,2010
"31","Zaragoza",25.1,16,67,2.23,2010
"32","Osasuna",27.1,6,66.55,2.29,2010
"33","Almeria",24.9,16,64.35,2.22,2010
"34","Santander",25,12,62.35,2.08,2010
"35","Hercules",25.8,12,61.55,1.92,2010
"36","Espanol",23.3,11,61.1,1.75,2010
"37","Sp Gijon",24.8,5,57.6,1.75,2010
"38","Mallorca",25.1,13,54.23,2.01,2010
"39","Sociedad",24.8,6,43.5,1.67,2010
"40","Levante",25.7,7,27.3,0.827,2010
"41","Barcelona",23.9,11,621.5,17.76,2011
"42","Real Madrid",23.7,16,525.2,16.41,2011
"43","Ath Madrid",23.8,15,202.1,6.12,2011
"44","Valencia",24.9,13,169.9,6.29,2011
"45","Villarreal",24.4,12,150.15,4.42,2011
"46","Sevilla",24.4,14,145.5,4.55,2011
"47","Malaga",26,18,128.2,4.01,2011
"48","Ath Bilbao",24.2,2,114.7,3.82,2011
"49","Getafe",25.9,6,79.5,2.56,2011
"50","Espanol",23.4,16,74.6,2.19,2011
"51","Zaragoza",25.5,16,72.5,2.34,2011
"52","Sociedad",24.4,8,70,2.8,2011
"53","Mallorca",23.9,13,61.1,1.97,2011
"54","Granada",26.5,13,51.7,1.85,2011
"55","Sp Gijon",25.3,8,49.75,1.6,2011
"56","Betis",25.3,6,46.7,1.42,2011
"57","Santander",23.6,9,43.6,1.28,2011
"58","Levante",26.6,9,42.4,1.28,2011
"59","Osasuna",26.1,8,40.35,1.26,2011
"60","Vallecano",25.3,6,34,1,2011
"61","Barcelona",25.2,9,621,23,2012
"62","Real Madrid",24.5,18,593.5,17.98,2012
"63","Ath Madrid",24.3,13,177.5,6.57,2012
"64","Valencia",24.6,14,171.2,6.34,2012
"65","Sevilla",24.3,13,134.1,4.33,2012
"66","Ath Bilbao",23.2,3,117.6,4.06,2012
"67","Malaga",25.8,21,111.3,3.37,2012
"68","Granada",26.2,14,77.7,2.68,2012
"69","Getafe",26,5,70.7,2.53,2012
"70","Sociedad",24.7,6,69,3.14,2012
"71","Mallorca",24.5,13,59.85,1.87,2012
"72","La Coruna",27.7,15,59.3,2.04,2012
"73","Espanol",24.9,12,58.9,2.18,2012
"74","Betis",24.8,8,51.4,1.56,2012
"75","Zaragoza",25.1,12,50.05,1.47,2012
"76","Osasuna",26.9,6,46.4,1.55,2012
"77","Levante",26.9,12,45.35,1.51,2012
"78","Vallecano",25.9,8,41.7,1.23,2012
"79","Celta",25.4,10,36.95,1.27,2012
"80","Valladolid",25.8,8,23.85,0.994,2012
"81","Barcelona",24.8,12,620.35,19.39,2013
"82","Real Madrid",24,16,606.6,17.84,2013
"83","Ath Madrid",23.9,17,262.1,7.28,2013
"84","Valencia",24.3,20,180.65,4.88,2013
"85","Sevilla",23.8,22,147.1,3.42,2013
"86","Sociedad",24.7,7,116.1,3.63,2013
"87","Ath Bilbao",24.7,2,115.1,3.97,2013
"88","Granada",24.6,25,70.75,1.77,2013
"89","Betis",23.7,12,69,1.6,2013
"90","Getafe",26,6,65.1,2.03,2013
"91","Malaga",25,21,64.88,2.09,2013
"92","Villarreal",23.5,10,62.8,2.24,2013
"93","Celta",24.7,8,56,1.81,2013
"94","Espanol",24.6,10,55.7,1.99,2013
"95","Elche",25.7,8,53.3,1.52,2013
"96","Levante",26.7,14,45.5,1.38,2013
"97","Osasuna",25.9,7,44.3,1.43,2013
"98","Vallecano",24.5,10,43.85,1.37,2013
"99","Valladolid",26.7,13,40.88,1.57,2013
"100","Almeria",25.7,12,33.8,1.09,2013
"101","Real Madrid",23.3,19,647.65,15.8,2014
"102","Barcelona",24.4,16,598.45,19.3,2014
"103","Ath Madrid",24.7,16,289,9.03,2014
"104","Valencia",23.1,13,137.3,5.28,2014
"105","Sevilla",24.7,15,122.85,3.61,2014
"106","Ath Bilbao",25.2,1,110.5,4.09,2014
"107","Sociedad",24.6,5,107.3,3.58,2014
"108","Villarreal",23.1,12,88.6,2.39,2014
"109","Malaga",25.6,18,62.35,2.08,2014
"110","Granada",24.4,22,60.98,1.56,2014
"111","Espanol",24.6,6,55.1,1.78,2014
"112","Vallecano",25.7,12,52.6,1.81,2014
"113","La Coruna",25.5,12,48.6,1.47,2014
"114","Getafe",25.1,9,48.15,1.42,2014
"115","Levante",26.8,10,47.1,1.52,2014
"116","Cordoba",24.8,15,44.7,1.24,2014
"117","Celta",23.3,10,39.4,1.41,2014
"118","Elche",24.7,8,31.38,1.08,2014
"119","Almeria",24.1,11,25.1,0.81,2014
"120","Eibar",27.3,3,21.1,0.844,2014
"121","Real Madrid",23.8,17,700.5,23.35,2015
"122","Barcelona",24.9,15,618.5,19.33,2015
"123","Ath Madrid",24.4,17,336,11.2,2015
"124","Valencia",22.7,20,254.5,6.7,2015
"125","Sevilla",24.8,19,186.5,4.91,2015
"126","Ath Bilbao",26,1,122.9,4.39,2015
"127","Sociedad",24.6,6,122.25,3.82,2015
"128","Villarreal",24.4,10,115.3,4.12,2015
"129","Malaga",26,23,78.2,2.37,2015
"130","Granada",24.9,19,73.2,2.22,2015
"131","Betis",25.9,14,72.45,2.2,2015
"132","Levante",26.3,10,68.2,2.2,2015
"133","Celta",23.6,12,63.8,2.28,2015
"134","Espanol",24.1,9,61.7,1.87,2015
"135","Getafe",24.7,13,55.15,1.78,2015
"136","Vallecano",27,14,53.8,1.54,2015
"137","La Coruna",27.4,11,51.35,1.71,2015
"138","Eibar",24.8,9,45.95,1.31,2015
"139","Sp Gijon",23.8,7,30.5,1.05,2015
"140","Las Palmas",26.2,7,29.25,0.886,2015
"141","Barcelona",24.7,18,787.2,21.28,2016
"142","Real Madrid",24.2,18,743.1,22.52,2016
"143","Ath Madrid",23.3,31,456.9,9.72,2016
"144","Valencia",24,18,286.4,7.16,2016
"145","Sevilla",24.4,24,236.4,5.91,2016
"146","Villarreal",24.3,15,158.7,4.07,2016
"147","Ath Bilbao",25.1,1,151.6,4.33,2016
"148","Sociedad",24.5,5,110.5,3.25,2016
"149","Celta",24.5,15,95.5,2.98,2016
"150","La Coruna",25.8,16,92.8,2.51,2016
"151","Granada",24.1,30,85.5,1.99,2016
"152","Espanol",25.8,10,84.7,2.42,2016
"153","Betis",25.4,14,76.8,2.48,2016
"154","Malaga",25,16,73.9,2.31,2016
"155","Las Palmas",25.7,9,55.9,1.69,2016
"156","Eibar",24.3,6,52.1,1.37,2016
"157","Sp Gijon",24.7,9,50.5,1.53,2016
"158","Leganes",25.1,11,47.3,1.28,2016
"159","Alaves",24.4,11,39.8,1.33,2016
"160","Osasuna",24.5,9,36.9,0.997,2016
"161","Barcelona",25.2,17,772.5,23.41,2017
"162","Real Madrid",23.5,15,716.2,22.38,2017
"163","Ath Madrid",24.4,19,585,16.25,2017
"164","Sevilla",25.5,20,269.45,8.17,2017
"165","Valencia",23.3,14,230.9,7.7,2017
"166","Villarreal",24.4,15,196.7,4.92,2017
"167","Ath Bilbao",25,1,188.5,5.71,2017
"168","Sociedad",25.2,6,165.1,5.5,2017
"169","Las Palmas",25.9,15,123,3.24,2017
"170","Celta",23.5,16,114.65,3.58,2017
"171","Betis",24.9,9,96.55,3.11,2017
"172","La Coruna",25.8,18,89.4,2.48,2017
"173","Malaga",24.8,17,88.43,2.21,2017
"174","Espanol",26.4,7,85.45,2.95,2017
"175","Eibar",25.9,9,71.75,2.17,2017
"176","Alaves",24.1,11,64.85,1.97,2017
"177","Levante",24.1,15,58.15,1.62,2017
"178","Leganes",25.9,15,53.63,1.58,2017
"179","Getafe",25.6,18,48.75,1.35,2017
"180","Girona",24.4,14,35.6,1.19,2017
"181","Barcelona",23.7,21,1100,26.42,2018
"182","Real Madrid",23.6,20,1000,25.84,2018
"183","Ath Madrid",23.2,21,872.25,20.77,2018
"184","Valencia",24,19,442.65,12.3,2018
"185","Sevilla",25,20,268.5,6.88,2018
"186","Villarreal",25.8,17,222.3,5.7,2018
"187","Ath Bilbao",25.9,2,208.9,6.14,2018
"188","Sociedad",23.2,9,196.3,5.95,2018
"189","Celta",24.4,21,181.7,5.51,2018
"190","Betis",24.4,16,180.33,4.75,2018
"191","Leganes",25,19,92.28,2.43,2018
"192","Espanol",25.7,9,82.3,2.57,2018
"193","Girona",24.9,12,80.15,2.43,2018
"194","Levante",24.9,11,72.5,2.27,2018
"195","Alaves",24.4,12,71.05,1.97,2018
"196","Getafe",25.7,15,69.5,2.11,2018
"197","Vallecano",25.3,13,58.75,1.63,2018
"198","Eibar",26.4,8,53.8,1.68,2018
"199","Huesca",25.7,15,38.05,0.976,2018
"200","Valladolid",24.1,8,37.35,0.911,2018
"201","Real Madrid",26.7,19,1100,43.67,2019
"202","Barcelona",26.7,16,1100,50.54,2019
"203","Ath Madrid",26.7,15,829.4,36.06,2019
"204","Valencia",26.6,14,474.2,18.24,2019
"205","Betis",27.2,10,297.3,12.39,2019
"206","Sociedad",24.7,7,288.3,11.53,2019
"207","Sevilla",26.8,15,275,10.58,2019
"208","Ath Bilbao",27.6,2,221.8,8.87,2019
"209","Villarreal",27.7,8,209.2,8.72,2019
"210","Celta",25.6,8,208.8,8.7,2019
"211","Espanol",27,7,138.85,5.55,2019
