"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","Bayern Munich ","Bayern Munich","31","31","24,7","17","284,50 Mill. €","9,18 Mill. €",2010
"2","VfL Wolfsburg ","VfL Wolfsburg","34","34","24,8","25","210,73 Mill. €","6,20 Mill. €",2010
"3","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","30","30","24,1","12","146,65 Mill. €","4,89 Mill. €",2010
"4","SV Werder Bremen ","SV Werder Bremen","38","38","24,0","18","146,55 Mill. €","3,86 Mill. €",2010
"5","FC Schalke 04 ","FC Schalke 04","36","36","24,2","23","139,65 Mill. €","3,88 Mill. €",2010
"6","Hamburger SV ","Hamburger SV","30","30","24,9","20","132,23 Mill. €","4,41 Mill. €",2010
"7","Borussia Dortmund ","Borussia Dortmund","31","31","23,8","15","114,65 Mill. €","3,70 Mill. €",2010
"8","VfB Stuttgart ","VfB Stuttgart","33","33","24,3","17","106,65 Mill. €","3,23 Mill. €",2010
"9","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","34","34","22,8","19","98,35 Mill. €","2,89 Mill. €",2010
"10","Borussia Mönchengladbach ","Borussia Mönchengladbach","34","34","24,8","19","69,30 Mill. €","2,04 Mill. €",2010
"11","1. FC Köln ","1. FC Köln","38","38","24,2","19","62,48 Mill. €","1,64 Mill. €",2010
"12","Eintracht Frankfurt ","Eintracht Frankfurt","31","31","24,2","15","56,60 Mill. €","1,83 Mill. €",2010
"13","1.FSV Mainz 05 ","1.FSV Mainz 05","28","28","25,9","15","45,55 Mill. €","1,63 Mill. €",2010
"14","Hannover 96 ","Hannover 96","28","28","25,1","14","44,63 Mill. €","1,59 Mill. €",2010
"15","SC Freiburg ","SC Freiburg","32","32","24,3","20","42,80 Mill. €","1,34 Mill. €",2010
"16","1.FC Nuremberg ","1.FC Nuremberg","32","32","23,5","14","38,98 Mill. €","1,22 Mill. €",2010
"17","1.FC Kaiserslautern  ","1.FC Kaiserslautern","30","30","23,9","18","37,23 Mill. €","1,24 Mill. €",2010
"18","FC St. Pauli  ","FC St. Pauli","30","30","25,8","3","29,90 Mill. €","997 Th. €",2010
"19","Bayern Munich ","Bayern Munich","31","31","24,7","17","284,50 Mill. €","9,18 Mill. €",2010
"20","VfL Wolfsburg ","VfL Wolfsburg","34","34","24,8","25","210,73 Mill. €","6,20 Mill. €",2010
"21","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","30","30","24,1","12","146,65 Mill. €","4,89 Mill. €",2010
"22","SV Werder Bremen ","SV Werder Bremen","38","38","24,0","18","146,55 Mill. €","3,86 Mill. €",2010
"23","FC Schalke 04 ","FC Schalke 04","36","36","24,2","23","139,65 Mill. €","3,88 Mill. €",2010
"24","Hamburger SV ","Hamburger SV","30","30","24,9","20","132,23 Mill. €","4,41 Mill. €",2010
"25","Borussia Dortmund ","Borussia Dortmund","31","31","23,8","15","114,65 Mill. €","3,70 Mill. €",2010
"26","VfB Stuttgart ","VfB Stuttgart","33","33","24,3","17","106,65 Mill. €","3,23 Mill. €",2010
"27","TSG 1899 Hoffenheim ","TSG 1899 Hoffenheim","34","34","22,8","19","98,35 Mill. €","2,89 Mill. €",2010
"28","Borussia Mönchengladbach ","Borussia Mönchengladbach","34","34","24,8","19","69,30 Mill. €","2,04 Mill. €",2010
"29","1. FC Köln ","1. FC Köln","38","38","24,2","19","62,48 Mill. €","1,64 Mill. €",2010
"30","Eintracht Frankfurt ","Eintracht Frankfurt","31","31","24,2","15","56,60 Mill. €","1,83 Mill. €",2010
"31","1.FSV Mainz 05 ","1.FSV Mainz 05","28","28","25,9","15","45,55 Mill. €","1,63 Mill. €",2010
"32","Hannover 96 ","Hannover 96","28","28","25,1","14","44,63 Mill. €","1,59 Mill. €",2010
"33","SC Freiburg ","SC Freiburg","32","32","24,3","20","42,80 Mill. €","1,34 Mill. €",2010
"34","1.FC Nuremberg ","1.FC Nuremberg","32","32","23,5","14","38,98 Mill. €","1,22 Mill. €",2010
"35","1.FC Kaiserslautern  ","1.FC Kaiserslautern","30","30","23,9","18","37,23 Mill. €","1,24 Mill. €",2010
"36","FC St. Pauli  ","FC St. Pauli","30","30","25,8","3","29,90 Mill. €","997 Th. €",2010
"37","Bayern Munich ","Bayern Munich","24","24","25,1","11","335,60 Mill. €","13,98 Mill. €",2011
"38","Borussia Dortmund ","Borussia Dortmund","28","28","23,8","11","158,20 Mill. €","5,65 Mill. €",2011
"39","Bayer 04 Leverkusen ","Bayer 04 Leverkusen","29","29","23,3","9","151,10 Mill. €","5,21 Mill. €",2011
