"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","Chelsea FC ","Chelsea FC","33","33","24,5","22","446,15 Mill. €","13,52 Mill. €",2010
"2","Manchester United ","Manchester United","43","43","24,1","29","384,15 Mill. €","8,93 Mill. €",2010
"3","Manchester City ","Manchester City","45","45","23,4","27","382,53 Mill. €","8,50 Mill. €",2010
"4","Liverpool FC ","Liverpool FC","42","42","23,5","25","365,50 Mill. €","8,70 Mill. €",2010
"5","Arsenal FC ","Arsenal FC","34","34","23,4","27","304,38 Mill. €","8,95 Mill. €",2010
"6","Tottenham Hotspur ","Tottenham Hotspur","38","38","24,7","21","296,00 Mill. €","7,79 Mill. €",2010
"7","Aston Villa ","Aston Villa","39","39","25,1","20","207,75 Mill. €","5,33 Mill. €",2010
"8","Everton FC ","Everton FC","32","32","23,9","21","178,53 Mill. €","5,58 Mill. €",2010
"9","West Ham United ","West Ham United","39","39","25,1","23","158,95 Mill. €","4,08 Mill. €",2010
"10","Sunderland AFC ","Sunderland AFC","39","39","23,7","20","137,33 Mill. €","3,52 Mill. €",2010
"11","Fulham FC ","Fulham FC","34","34","27,5","27","111,95 Mill. €","3,29 Mill. €",2010
"12","Birmingham City ","Birmingham City","34","34","25,8","18","102,90 Mill. €","3,03 Mill. €",2010
"13","Stoke City ","Stoke City","33","33","27,0","20","96,40 Mill. €","2,92 Mill. €",2010
"14","Newcastle United ","Newcastle United","38","38","23,7","17","95,65 Mill. €","2,52 Mill. €",2010
"15","Blackburn Rovers ","Blackburn Rovers","37","37","25,1","29","95,10 Mill. €","2,57 Mill. €",2010
"16","Bolton Wanderers ","Bolton Wanderers","34","34","25,4","18","93,40 Mill. €","2,75 Mill. €",2010
"17","West Bromwich Albion  ","West Bromwich Albion","37","37","24,3","24","85,03 Mill. €","2,30 Mill. €",2010
"18","Wolverhampton Wanderers  ","Wolverhampton Wanderers","42","42","23,7","23","76,80 Mill. €","1,83 Mill. €",2010
"19","Wigan Athletic ","Wigan Athletic","35","35","24,0","24","72,10 Mill. €","2,06 Mill. €",2010
"20","Blackpool FC ","Blackpool FC","45","45","24,3","23","38,10 Mill. €","886 Th. €",2010
"21","Chelsea FC ","Chelsea FC","33","33","24,5","22","446,15 Mill. €","13,52 Mill. €",2010
"22","Manchester United ","Manchester United","43","43","24,1","29","384,15 Mill. €","8,93 Mill. €",2010
"23","Manchester City ","Manchester City","45","45","23,4","27","382,53 Mill. €","8,50 Mill. €",2010
"24","Liverpool FC ","Liverpool FC","42","42","23,5","25","365,50 Mill. €","8,70 Mill. €",2010
"25","Arsenal FC ","Arsenal FC","34","34","23,4","27","304,38 Mill. €","8,95 Mill. €",2010
"26","Tottenham Hotspur ","Tottenham Hotspur","38","38","24,7","21","296,00 Mill. €","7,79 Mill. €",2010
"27","Aston Villa ","Aston Villa","39","39","25,1","20","207,75 Mill. €","5,33 Mill. €",2010
"28","Everton FC ","Everton FC","32","32","23,9","21","178,53 Mill. €","5,58 Mill. €",2010
"29","West Ham United ","West Ham United","39","39","25,1","23","158,95 Mill. €","4,08 Mill. €",2010
"30","Sunderland AFC ","Sunderland AFC","39","39","23,7","20","137,33 Mill. €","3,52 Mill. €",2010
"31","Fulham FC ","Fulham FC","34","34","27,5","27","111,95 Mill. €","3,29 Mill. €",2010
"32","Birmingham City ","Birmingham City","34","34","25,8","18","102,90 Mill. €","3,03 Mill. €",2010
"33","Stoke City ","Stoke City","33","33","27,0","20","96,40 Mill. €","2,92 Mill. €",2010
"34","Newcastle United ","Newcastle United","38","38","23,7","17","95,65 Mill. €","2,52 Mill. €",2010
"35","Blackburn Rovers ","Blackburn Rovers","37","37","25,1","29","95,10 Mill. €","2,57 Mill. €",2010
"36","Bolton Wanderers ","Bolton Wanderers","34","34","25,4","18","93,40 Mill. €","2,75 Mill. €",2010
"37","West Bromwich Albion  ","West Bromwich Albion","37","37","24,3","24","85,03 Mill. €","2,30 Mill. €",2010
"38","Wolverhampton Wanderers  ","Wolverhampton Wanderers","42","42","23,7","23","76,80 Mill. €","1,83 Mill. €",2010
"39","Wigan Athletic ","Wigan Athletic","35","35","24,0","24","72,10 Mill. €","2,06 Mill. €",2010
"40","Blackpool FC ","Blackpool FC","45","45","24,3","23","38,10 Mill. €","886 Th. €",2010
"41","Chelsea FC ","Chelsea FC","30","30","26,3","21","467,50 Mill. €","15,58 Mill. €",2011
"42","Manchester City ","Manchester City","34","34","24,7","22","461,80 Mill. €","13,58 Mill. €",2011
"43","Manchester United ","Manchester United","41","41","23,6","23","398,25 Mill. €","9,71 Mill. €",2011
"44","Tottenham Hotspur ","Tottenham Hotspur","49","49","24,2","24","316,00 Mill. €","6,45 Mill. €",2011
"45","Arsenal FC ","Arsenal FC","44","44","23,3","33","312,43 Mill. €","7,10 Mill. €",2011
"46","Liverpool FC ","Liverpool FC","28","28","25,0","16","247,75 Mill. €","8,85 Mill. €",2011
"47","Everton FC ","Everton FC","34","34","25,6","24","190,18 Mill. €","5,59 Mill. €",2011
"48","Aston Villa ","Aston Villa","34","34","25,3","21","157,60 Mill. €","4,64 Mill. €",2011
"49","Sunderland AFC ","Sunderland AFC","33","33","25,0","18","125,05 Mill. €","3,79 Mill. €",2011
"50","Newcastle United ","Newcastle United","35","35","24,1","21","120,53 Mill. €","3,44 Mill. €",2011
"51","Stoke City ","Stoke City","31","31","27,9","15","119,05 Mill. €","3,84 Mill. €",2011
"52","Fulham FC ","Fulham FC","36","36","26,1","28","118,55 Mill. €","3,29 Mill. €",2011
"53","Queens Park Rangers  ","Queens Park Rangers","46","46","27,0","24","106,05 Mill. €","2,31 Mill. €",2011
"54","Bolton Wanderers ","Bolton Wanderers","37","37","25,2","19","98,15 Mill. €","2,65 Mill. €",2011
"55","Blackburn Rovers ","Blackburn Rovers","36","36","24,5","24","90,65 Mill. €","2,52 Mill. €",2011
"56","Wolverhampton Wanderers ","Wolverhampton Wanderers","35","35","24,1","23","82,00 Mill. €","2,34 Mill. €",2011
"57","West Bromwich Albion ","West Bromwich Albion","36","36","25,0","24","81,38 Mill. €","2,26 Mill. €",2011
"58","Wigan Athletic ","Wigan Athletic","29","29","25,4","22","70,00 Mill. €","2,41 Mill. €",2011
"59","Swansea City  ","Swansea City","32","32","24,8","26","40,55 Mill. €","1,27 Mill. €",2011
"60","Norwich City  ","Norwich City","29","29","24,5","12","22,50 Mill. €","776 Th. €",2011
"61","Manchester City ","Manchester City","38","38","24,0","27","510,15 Mill. €","13,43 Mill. €",2012
"62","Manchester United ","Manchester United","36","36","24,1","22","444,50 Mill. €","12,35 Mill. €",2012
"63","Chelsea FC ","Chelsea FC","31","31","25,3","22","408,50 Mill. €","13,18 Mill. €",2012
"64","Tottenham Hotspur ","Tottenham Hotspur","35","35","25,1","16","309,53 Mill. €","8,84 Mill. €",2012
"65","Arsenal FC ","Arsenal FC","36","36","23,8","30","293,75 Mill. €","8,16 Mill. €",2012
"66","Liverpool FC ","Liverpool FC","38","38","22,8","19","275,45 Mill. €","7,25 Mill. €",2012
"67","Newcastle United ","Newcastle United","36","36","24,1","25","190,25 Mill. €","5,28 Mill. €",2012
"68","Queens Park Rangers ","Queens Park Rangers","33","33","28,1","18","150,00 Mill. €","4,55 Mill. €",2012
"69","Sunderland AFC ","Sunderland AFC","31","31","25,4","18","127,00 Mill. €","4,10 Mill. €",2012
"70","Everton FC ","Everton FC","26","26","25,6","18","124,80 Mill. €","4,80 Mill. €",2012
"71","Fulham FC ","Fulham FC","33","33","26,9","29","114,50 Mill. €","3,47 Mill. €",2012
"72","West Ham United  ","West Ham United","34","34","25,1","18","114,45 Mill. €","3,37 Mill. €",2012
"73","Aston Villa ","Aston Villa","31","31","24,1","19","101,03 Mill. €","3,26 Mill. €",2012
"74","Stoke City ","Stoke City","29","29","27,6","16","99,10 Mill. €","3,42 Mill. €",2012
"75","Swansea City ","Swansea City","29","29","25,9","25","88,00 Mill. €","3,03 Mill. €",2012
"76","West Bromwich Albion ","West Bromwich Albion","29","29","25,7","21","83,00 Mill. €","2,86 Mill. €",2012
"77","Wigan Athletic ","Wigan Athletic","35","35","25,0","28","81,50 Mill. €","2,33 Mill. €",2012
"78","Norwich City ","Norwich City","34","34","25,3","16","70,65 Mill. €","2,08 Mill. €",2012
"79","Southampton FC  ","Southampton FC","37","37","24,3","16","68,85 Mill. €","1,86 Mill. €",2012
"80","Reading FC  ","Reading FC","31","31","25,6","22","44,00 Mill. €","1,42 Mill. €",2012
"81","Chelsea FC ","Chelsea FC","48","48","23,8","40","582,98 Mill. €","12,15 Mill. €",2013
"82","Manchester United ","Manchester United","34","34","24,9","24","511,75 Mill. €","15,05 Mill. €",2013
"83","Manchester City ","Manchester City","27","27","25,7","21","479,00 Mill. €","17,74 Mill. €",2013
"84","Arsenal FC ","Arsenal FC","37","37","23,8","30","332,70 Mill. €","8,99 Mill. €",2013
"85","Tottenham Hotspur ","Tottenham Hotspur","36","36","23,4","21","296,00 Mill. €","8,22 Mill. €",2013
"86","Liverpool FC ","Liverpool FC","31","31","23,8","22","272,50 Mill. €","8,79 Mill. €",2013
"87","Everton FC ","Everton FC","30","30","25,9","22","217,50 Mill. €","7,25 Mill. €",2013
"88","Newcastle United ","Newcastle United","33","33","24,4","26","188,85 Mill. €","5,72 Mill. €",2013
"89","Sunderland AFC ","Sunderland AFC","37","37","24,9","28","151,25 Mill. €","4,09 Mill. €",2013
"90","Fulham FC ","Fulham FC","44","44","25,4","33","148,35 Mill. €","3,37 Mill. €",2013
"91","West Ham United ","West Ham United","42","42","25,3","22","128,25 Mill. €","3,05 Mill. €",2013
"92","Stoke City ","Stoke City","29","29","26,1","20","126,00 Mill. €","4,34 Mill. €",2013
"93","Swansea City ","Swansea City","31","31","25,5","27","118,58 Mill. €","3,83 Mill. €",2013
"94","Aston Villa ","Aston Villa","34","34","24,0","20","116,30 Mill. €","3,42 Mill. €",2013
"95","Southampton FC ","Southampton FC","31","31","23,9","16","102,50 Mill. €","3,31 Mill. €",2013
"96","Norwich City ","Norwich City","29","29","26,2","17","95,75 Mill. €","3,30 Mill. €",2013
"97","Cardiff City  ","Cardiff City","39","39","24,6","36","92,35 Mill. €","2,37 Mill. €",2013
"98","West Bromwich Albion ","West Bromwich Albion","30","30","26,6","21","91,95 Mill. €","3,07 Mill. €",2013
"99","Hull City  ","Hull City","33","33","26,4","22","69,90 Mill. €","2,12 Mill. €",2013
"100","Crystal Palace  ","Crystal Palace","41","41","26,2","24","64,25 Mill. €","1,57 Mill. €",2013
"101","Chelsea FC ","Chelsea FC","38","38","23,9","28","526,10 Mill. €","13,84 Mill. €",2014
"102","Manchester United ","Manchester United","43","43","23,9","25","522,40 Mill. €","12,15 Mill. €",2014
"103","Manchester City ","Manchester City","36","36","25,4","29","478,00 Mill. €","13,28 Mill. €",2014
"104","Arsenal FC ","Arsenal FC","42","42","23,0","29","404,35 Mill. €","9,63 Mill. €",2014
"105","Tottenham Hotspur ","Tottenham Hotspur","42","42","23,7","25","298,25 Mill. €","7,10 Mill. €",2014
"106","Liverpool FC ","Liverpool FC","35","35","23,4","21","285,00 Mill. €","8,14 Mill. €",2014
"107","Everton FC ","Everton FC","40","40","24,3","19","177,50 Mill. €","4,44 Mill. €",2014
