"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FC Le Mans ","FC Le Mans","32","32","22,6","18","27,95 Mill. €","873 Th. €",2010
"2","FC Nantes ","FC Nantes","42","42","22,4","25","23,30 Mill. €","555 Th. €",2010
"3","Grenoble Foot 38 ","Grenoble Foot 38","33","33","23,1","12","19,38 Mill. €","587 Th. €",2010
"4","US Boulogne  ","US Boulogne","29","29","24,9","11","17,98 Mill. €","620 Th. €",2010
"5","Tours FC ","Tours FC","28","28","23,3","12","15,08 Mill. €","538 Th. €",2010
"6","AC Le Havre ","AC Le Havre","29","29","22,8","12","15,00 Mill. €","517 Th. €",2010
"7","FC Metz ","FC Metz","37","37","23,3","22","14,23 Mill. €","384 Th. €",2010
"8","LB Châteauroux ","LB Châteauroux","35","35","23,2","10","13,85 Mill. €","396 Th. €",2010
"9","OC Vannes ","OC Vannes","40","40","24,2","8","13,50 Mill. €","338 Th. €",2010
"10","CS Sedan-Ardennes ","CS Sedan-Ardennes","24","24","22,5","12","13,05 Mill. €","544 Th. €",2010
"11","SCO Angers ","SCO Angers","29","29","25,6","6","12,70 Mill. €","438 Th. €",2010
"12","Nîmes Olympique ","Nîmes Olympique","37","37","24,1","20","12,25 Mill. €","331 Th. €",2010
"13","FC Évian Thonon Gaillard ","FC Évian Thonon Gaillard","28","28","25,7","11","11,60 Mill. €","414 Th. €",2010
"14","ES Troyes AC ","ES Troyes AC","31","31","23,7","10","11,55 Mill. €","373 Th. €",2010
"15","Stade Laval ","Stade Laval","31","31","24,5","6","9,90 Mill. €","319 Th. €",2010
"16","FCO Dijon ","FCO Dijon","29","29","23,4","10","9,25 Mill. €","319 Th. €",2010
"17","Stade Reims ","Stade Reims","29","29","24,0","10","9,05 Mill. €","312 Th. €",2010
"18","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","28","28","24,5","11","8,75 Mill. €","313 Th. €",2010
"19","FC Istres Ouest Provence  ","FC Istres Ouest Provence ","27","27","24,6","12","8,40 Mill. €","311 Th. €",2010
"20","AC Ajaccio ","AC Ajaccio","26","26","24,5","8","7,85 Mill. €","302 Th. €",2010
"21","FC Le Mans ","FC Le Mans","32","32","22,6","18","27,95 Mill. €","873 Th. €",2010
"22","FC Nantes ","FC Nantes","42","42","22,4","25","23,30 Mill. €","555 Th. €",2010
"23","Grenoble Foot 38 ","Grenoble Foot 38","33","33","23,1","12","19,38 Mill. €","587 Th. €",2010
"24","US Boulogne  ","US Boulogne","29","29","24,9","11","17,98 Mill. €","620 Th. €",2010
"25","Tours FC ","Tours FC","28","28","23,3","12","15,08 Mill. €","538 Th. €",2010
"26","AC Le Havre ","AC Le Havre","29","29","22,8","12","15,00 Mill. €","517 Th. €",2010
"27","FC Metz ","FC Metz","37","37","23,3","22","14,23 Mill. €","384 Th. €",2010
"28","LB Châteauroux ","LB Châteauroux","35","35","23,2","10","13,85 Mill. €","396 Th. €",2010
"29","OC Vannes ","OC Vannes","40","40","24,2","8","13,50 Mill. €","338 Th. €",2010
"30","CS Sedan-Ardennes ","CS Sedan-Ardennes","24","24","22,5","12","13,05 Mill. €","544 Th. €",2010
"31","SCO Angers ","SCO Angers","29","29","25,6","6","12,70 Mill. €","438 Th. €",2010
"32","Nîmes Olympique ","Nîmes Olympique","37","37","24,1","20","12,25 Mill. €","331 Th. €",2010
"33","FC Évian Thonon Gaillard ","FC Évian Thonon Gaillard","28","28","25,7","11","11,60 Mill. €","414 Th. €",2010
"34","ES Troyes AC ","ES Troyes AC","31","31","23,7","10","11,55 Mill. €","373 Th. €",2010
"35","Stade Laval ","Stade Laval","31","31","24,5","6","9,90 Mill. €","319 Th. €",2010
"36","FCO Dijon ","FCO Dijon","29","29","23,4","10","9,25 Mill. €","319 Th. €",2010
"37","Stade Reims ","Stade Reims","29","29","24,0","10","9,05 Mill. €","312 Th. €",2010
"38","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","28","28","24,5","11","8,75 Mill. €","313 Th. €",2010
"39","FC Istres Ouest Provence  ","FC Istres Ouest Provence ","27","27","24,6","12","8,40 Mill. €","311 Th. €",2010
"40","AC Ajaccio ","AC Ajaccio","26","26","24,5","8","7,85 Mill. €","302 Th. €",2010
"41","AS Monaco  ","AS Monaco","44","44","23,6","44","45,95 Mill. €","1,04 Mill. €",2011
"42","RC Lens  ","RC Lens","31","31","23,6","15","26,10 Mill. €","842 Th. €",2011
"43","FC Nantes ","FC Nantes","35","35","24,0","16","18,30 Mill. €","523 Th. €",2011
"44","AC Le Havre ","AC Le Havre","27","27","22,5","10","14,90 Mill. €","552 Th. €",2011
"45","Athlétic Club Arlésien  ","Athlétic Club Arlésien","35","35","24,9","14","14,60 Mill. €","417 Th. €",2011
"46","CS Sedan-Ardennes ","CS Sedan-Ardennes","25","25","24,0","12","12,90 Mill. €","516 Th. €",2011
"47","FC Metz ","FC Metz","38","38","22,4","21","12,58 Mill. €","331 Th. €",2011
"48","US Boulogne ","US Boulogne","32","32","23,3","11","12,45 Mill. €","389 Th. €",2011
"49","FC Le Mans ","FC Le Mans","33","33","22,5","23","12,15 Mill. €","368 Th. €",2011
"50","Tours FC ","Tours FC","26","26","23,8","10","11,75 Mill. €","452 Th. €",2011
"51","EA Guingamp  ","EA Guingamp","29","29","23,9","11","11,55 Mill. €","398 Th. €",2011
"52","ES Troyes AC ","ES Troyes AC","27","27","23,8","10","9,95 Mill. €","369 Th. €",2011
"53","SCO Angers ","SCO Angers","32","32","25,5","10","9,65 Mill. €","302 Th. €",2011
"54","LB Châteauroux ","LB Châteauroux","29","29","23,9","8","9,40 Mill. €","324 Th. €",2011
"55","Stade Reims ","Stade Reims","31","31","24,2","15","9,30 Mill. €","300 Th. €",2011
"56","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","30","30","23,6","13","9,13 Mill. €","304 Th. €",2011
"57","FC Istres Ouest Provence  ","FC Istres Ouest Provence ","31","31","24,2","13","8,55 Mill. €","276 Th. €",2011
"58","Stade Laval ","Stade Laval","25","25","24,9","2","7,10 Mill. €","284 Th. €",2011
"59","SC Amiens  ","SC Amiens","34","34","24,6","17","6,65 Mill. €","196 Th. €",2011
"60","SC Bastia  ","SC Bastia","27","27","24,5","7","6,40 Mill. €","237 Th. €",2011
"61","AS Monaco ","AS Monaco","34","34","24,2","34","53,15 Mill. €","1,56 Mill. €",2012
"62","AJ Auxerre  ","AJ Auxerre","38","38","22,2","17","29,00 Mill. €","763 Th. €",2012
"63","FCO Dijon  ","FCO Dijon","35","35","23,1","13","24,85 Mill. €","710 Th. €",2012
"64","SM Caen  ","SM Caen","28","28","24,5","15","17,00 Mill. €","607 Th. €",2012
"65","FC Nantes ","FC Nantes","33","33","22,9","18","14,65 Mill. €","444 Th. €",2012
"66","AC Le Havre ","AC Le Havre","28","28","23,4","10","14,50 Mill. €","518 Th. €",2012
"67","Athlétic Club Arlésien ","Athlétic Club Arlésien","33","33","25,7","13","13,33 Mill. €","404 Th. €",2012
"68","CS Sedan-Ardennes ","CS Sedan-Ardennes","29","29","23,6","17","13,15 Mill. €","453 Th. €",2012
"69","RC Lens ","RC Lens","29","29","23,0","13","12,15 Mill. €","419 Th. €",2012
"70","EA Guingamp ","EA Guingamp","26","26","25,5","9","11,85 Mill. €","456 Th. €",2012
"71","Clermont Foot Auvergne 63 ","Clermont Foot Auvergne 63","28","28","24,5","12","10,80 Mill. €","386 Th. €",2012
"72","Tours FC ","Tours FC","29","29","22,9","8","10,25 Mill. €","353 Th. €",2012
"73","FC Le Mans ","FC Le Mans","31","31","22,7","19","10,10 Mill. €","326 Th. €",2012
"74","LB Châteauroux ","LB Châteauroux","33","33","22,9","11","8,90 Mill. €","270 Th. €",2012
"75","SCO Angers ","SCO Angers","30","30","24,7","16","8,85 Mill. €","295 Th. €",2012
"76","FC Istres Ouest Provence  ","FC Istres Ouest Provence ","32","32","23,3","18","7,70 Mill. €","241 Th. €",2012
"77","Stade Laval ","Stade Laval","29","29","24,9","11","7,25 Mill. €","250 Th. €",2012
"78","GFC Ajaccio  ","GFC Ajaccio","31","31","25,9","6","4,20 Mill. €","135 Th. €",2012
"79","Nîmes Olympique  ","Nîmes Olympique","31","31","26,0","13","4,00 Mill. €","129 Th. €",2012
"80","FC Chamois Niort  ","FC Chamois Niort","28","28","25,1","9","2,25 Mill. €","80 Th. €",2012
"81","AS Nancy-Lorraine  ","AS Nancy-Lorraine","32","32","22,3","11","25,15 Mill. €","786 Th. €",2013
"82","Stade Brest 29  ","Stade Brest 29","31","31","24,0","13","20,65 Mill. €","666 Th. €",2013
