"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FC Porto ","FC Porto","30","30","23,6","18","150,60 Mill. €","5,02 Mill. €",2010
"2","Sporting CP ","Sporting CP","32","32","25,5","14","125,85 Mill. €","3,93 Mill. €",2010
"3","SL Benfica ","SL Benfica","29","29","24,5","20","120,55 Mill. €","4,16 Mill. €",2010
"4","SC Braga ","SC Braga","37","37","25,8","25","62,95 Mill. €","1,70 Mill. €",2010
"5","Vitória Guimaraes SC ","Vitória Guimaraes SC","38","38","24,6","21","30,65 Mill. €","807 Th. €",2010
"6","CS Marítimo ","CS Marítimo","45","45","24,2","31","29,63 Mill. €","658 Th. €",2010
"7","CD Nacional ","CD Nacional","31","31","24,3","22","21,23 Mill. €","685 Th. €",2010
"8","Académica Coimbra ","Académica Coimbra","28","28","24,5","13","20,60 Mill. €","736 Th. €",2010
"9","Rio Ave FC ","Rio Ave FC","29","29","26,0","9","17,90 Mill. €","617 Th. €",2010
"10","SC Olhanense ","SC Olhanense","37","37","25,1","21","16,55 Mill. €","447 Th. €",2010
"11","Vitória Setúbal FC ","Vitória Setúbal FC","31","31","25,6","21","16,53 Mill. €","533 Th. €",2010
"12","Uniao de Leiria ","Uniao de Leiria","34","34","25,1","23","14,50 Mill. €","426 Th. €",2010
"13","Portimonense SC  ","Portimonense SC","33","33","24,8","20","14,25 Mill. €","432 Th. €",2010
"14","Naval 1o de Maio ","Naval 1o de Maio","31","31","25,2","17","12,48 Mill. €","402 Th. €",2010
"15","FC Paços de Ferreira ","FC Paços de Ferreira","29","29","24,5","13","9,80 Mill. €","338 Th. €",2010
"16","SC Beira-Mar ","SC Beira-Mar","31","31","24,0","14","8,35 Mill. €","269 Th. €",2010
"17","FC Porto ","FC Porto","30","30","23,6","18","150,60 Mill. €","5,02 Mill. €",2010
"18","Sporting CP ","Sporting CP","32","32","25,5","14","125,85 Mill. €","3,93 Mill. €",2010
"19","SL Benfica ","SL Benfica","29","29","24,5","20","120,55 Mill. €","4,16 Mill. €",2010
"20","SC Braga ","SC Braga","37","37","25,8","25","62,95 Mill. €","1,70 Mill. €",2010
"21","Vitória Guimaraes SC ","Vitória Guimaraes SC","38","38","24,6","21","30,65 Mill. €","807 Th. €",2010
"22","CS Marítimo ","CS Marítimo","45","45","24,2","31","29,63 Mill. €","658 Th. €",2010
"23","CD Nacional ","CD Nacional","31","31","24,3","22","21,23 Mill. €","685 Th. €",2010
"24","Académica Coimbra ","Académica Coimbra","28","28","24,5","13","20,60 Mill. €","736 Th. €",2010
"25","Rio Ave FC ","Rio Ave FC","29","29","26,0","9","17,90 Mill. €","617 Th. €",2010
"26","SC Olhanense ","SC Olhanense","37","37","25,1","21","16,55 Mill. €","447 Th. €",2010
"27","Vitória Setúbal FC ","Vitória Setúbal FC","31","31","25,6","21","16,53 Mill. €","533 Th. €",2010
"28","Uniao de Leiria ","Uniao de Leiria","34","34","25,1","23","14,50 Mill. €","426 Th. €",2010
"29","Portimonense SC  ","Portimonense SC","33","33","24,8","20","14,25 Mill. €","432 Th. €",2010
"30","Naval 1o de Maio ","Naval 1o de Maio","31","31","25,2","17","12,48 Mill. €","402 Th. €",2010
"31","FC Paços de Ferreira ","FC Paços de Ferreira","29","29","24,5","13","9,80 Mill. €","338 Th. €",2010
"32","SC Beira-Mar ","SC Beira-Mar","31","31","24,0","14","8,35 Mill. €","269 Th. €",2010
"33","FC Porto ","FC Porto","32","32","23,9","26","244,60 Mill. €","7,64 Mill. €",2011
"34","SL Benfica ","SL Benfica","32","32","23,9","20","150,75 Mill. €","4,71 Mill. €",2011
"35","Sporting CP ","Sporting CP","37","37","23,4","21","129,25 Mill. €","3,49 Mill. €",2011
