"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","FC Internazionale ","FC Internazionale","44","44","24,6","27","390,15 Mill. €","8,87 Mill. €",2010
"2","AC Milan ","AC Milan","45","45","26,2","22","348,35 Mill. €","7,74 Mill. €",2010
"3","Juventus FC ","Juventus FC","51","51","24,5","15","332,43 Mill. €","6,52 Mill. €",2010
"4","AS Roma ","AS Roma","43","43","25,2","22","255,00 Mill. €","5,93 Mill. €",2010
"5","ACF Fiorentina ","ACF Fiorentina","42","42","23,4","22","207,73 Mill. €","4,95 Mill. €",2010
"6","Genoa CFC ","Genoa CFC","45","45","23,8","22","168,70 Mill. €","3,75 Mill. €",2010
"7","SSC Napoli ","SSC Napoli","44","44","24,9","11","147,43 Mill. €","3,35 Mill. €",2010
"8","UC Sampdoria ","UC Sampdoria","46","46","23,0","14","129,15 Mill. €","2,81 Mill. €",2010
"9","SS Lazio ","SS Lazio","44","44","25,6","22","116,25 Mill. €","2,64 Mill. €",2010
"10","Udinese Calcio ","Udinese Calcio","40","40","23,2","23","112,55 Mill. €","2,81 Mill. €",2010
"11","Parma FC ","Parma FC","43","43","24,2","13","103,43 Mill. €","2,41 Mill. €",2010
"12","US Palermo ","US Palermo","45","45","22,7","17","87,80 Mill. €","1,95 Mill. €",2010
"13","Cagliari Calcio ","Cagliari Calcio","37","37","26,3","6","74,13 Mill. €","2,00 Mill. €",2010
"14","Calcio Catania ","Calcio Catania","35","35","25,3","17","68,70 Mill. €","1,96 Mill. €",2010
"15","AC Cesena  ","AC Cesena","45","45","24,9","22","64,90 Mill. €","1,44 Mill. €",2010
"16","AS Bari ","AS Bari","46","46","24,2","15","63,45 Mill. €","1,38 Mill. €",2010
"17","Chievo Verona ","Chievo Verona","43","43","25,7","21","55,20 Mill. €","1,28 Mill. €",2010
"18","Brescia Calcio  ","Brescia Calcio","43","43","24,7","19","49,10 Mill. €","1,14 Mill. €",2010
"19","Bologna FC 1909 ","Bologna FC 1909","38","38","23,4","14","47,18 Mill. €","1,24 Mill. €",2010
"20","US Lecce  ","US Lecce","37","37","24,1","15","35,50 Mill. €","959 Th. €",2010
"21","FC Internazionale ","FC Internazionale","44","44","24,6","27","390,15 Mill. €","8,87 Mill. €",2010
"22","AC Milan ","AC Milan","45","45","26,2","22","348,35 Mill. €","7,74 Mill. €",2010
"23","Juventus FC ","Juventus FC","51","51","24,5","15","332,43 Mill. €","6,52 Mill. €",2010
"24","AS Roma ","AS Roma","43","43","25,2","22","255,00 Mill. €","5,93 Mill. €",2010
"25","ACF Fiorentina ","ACF Fiorentina","42","42","23,4","22","207,73 Mill. €","4,95 Mill. €",2010
"26","Genoa CFC ","Genoa CFC","45","45","23,8","22","168,70 Mill. €","3,75 Mill. €",2010
"27","SSC Napoli ","SSC Napoli","44","44","24,9","11","147,43 Mill. €","3,35 Mill. €",2010
"28","UC Sampdoria ","UC Sampdoria","46","46","23,0","14","129,15 Mill. €","2,81 Mill. €",2010
"29","SS Lazio ","SS Lazio","44","44","25,6","22","116,25 Mill. €","2,64 Mill. €",2010
"30","Udinese Calcio ","Udinese Calcio","40","40","23,2","23","112,55 Mill. €","2,81 Mill. €",2010
"31","Parma FC ","Parma FC","43","43","24,2","13","103,43 Mill. €","2,41 Mill. €",2010
"32","US Palermo ","US Palermo","45","45","22,7","17","87,80 Mill. €","1,95 Mill. €",2010
"33","Cagliari Calcio ","Cagliari Calcio","37","37","26,3","6","74,13 Mill. €","2,00 Mill. €",2010
"34","Calcio Catania ","Calcio Catania","35","35","25,3","17","68,70 Mill. €","1,96 Mill. €",2010
"35","AC Cesena  ","AC Cesena","45","45","24,9","22","64,90 Mill. €","1,44 Mill. €",2010
"36","AS Bari ","AS Bari","46","46","24,2","15","63,45 Mill. €","1,38 Mill. €",2010
"37","Chievo Verona ","Chievo Verona","43","43","25,7","21","55,20 Mill. €","1,28 Mill. €",2010
"38","Brescia Calcio  ","Brescia Calcio","43","43","24,7","19","49,10 Mill. €","1,14 Mill. €",2010
"39","Bologna FC 1909 ","Bologna FC 1909","38","38","23,4","14","47,18 Mill. €","1,24 Mill. €",2010
"40","US Lecce  ","US Lecce","37","37","24,1","15","35,50 Mill. €","959 Th. €",2010
"41","FC Internazionale ","FC Internazionale","48","48","24,4","28","388,30 Mill. €","8,09 Mill. €",2011
"42","Juventus FC ","Juventus FC","34","34","26,8","12","290,45 Mill. €","8,54 Mill. €",2011
"43","AC Milan ","AC Milan","45","45","25,3","21","290,25 Mill. €","6,45 Mill. €",2011
"44","AS Roma ","AS Roma","39","39","24,5","18","183,50 Mill. €","4,71 Mill. €",2011
"45","SSC Napoli ","SSC Napoli","52","52","23,0","15","183,08 Mill. €","3,52 Mill. €",2011
"46","ACF Fiorentina ","ACF Fiorentina","40","40","23,7","21","167,95 Mill. €","4,20 Mill. €",2011
"47","Genoa CFC ","Genoa CFC","39","39","24,8","21","129,70 Mill. €","3,33 Mill. €",2011
"48","US Palermo ","US Palermo","46","46","23,5","25","121,13 Mill. €","2,63 Mill. €",2011
"49","SS Lazio ","SS Lazio","53","53","24,1","22","119,80 Mill. €","2,26 Mill. €",2011
"50","Udinese Calcio ","Udinese Calcio","49","49","22,4","25","108,55 Mill. €","2,22 Mill. €",2011
"51","Parma FC ","Parma FC","43","43","24,2","12","88,10 Mill. €","2,05 Mill. €",2011
"52","Cagliari Calcio ","Cagliari Calcio","33","33","23,8","12","67,65 Mill. €","2,05 Mill. €",2011
"53","Bologna FC 1909 ","Bologna FC 1909","41","41","23,8","18","66,93 Mill. €","1,63 Mill. €",2011
"54","AC Cesena ","AC Cesena","45","45","24,2","21","62,45 Mill. €","1,39 Mill. €",2011
"55","Calcio Catania ","Calcio Catania","39","39","25,5","21","60,30 Mill. €","1,55 Mill. €",2011
"56","Atalanta BC  ","Atalanta BC","36","36","26,4","5","59,28 Mill. €","1,65 Mill. €",2011
"57","Chievo Verona ","Chievo Verona","40","40","25,2","20","50,68 Mill. €","1,27 Mill. €",2011
"58","AC Siena  ","AC Siena","37","37","25,9","10","43,50 Mill. €","1,18 Mill. €",2011
"59","US Lecce ","US Lecce","41","41","24,8","17","37,03 Mill. €","903 Th. €",2011
"60","Novara Calcio 1908  ","Novara Calcio 1908","38","38","25,8","13","32,68 Mill. €","860 Th. €",2011
"61","Juventus FC ","Juventus FC","40","40","25,3","17","308,80 Mill. €","7,72 Mill. €",2012
"62","AC Milan ","AC Milan","42","42","24,6","22","271,35 Mill. €","6,46 Mill. €",2012
"63","FC Internazionale ","FC Internazionale","55","55","23,3","33","265,60 Mill. €","4,83 Mill. €",2012
"64","SSC Napoli ","SSC Napoli","41","41","25,2","18","226,53 Mill. €","5,53 Mill. €",2012
"65","ACF Fiorentina ","ACF Fiorentina","41","41","24,2","25","178,30 Mill. €","4,35 Mill. €",2012
