"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1","Atalanta BC  ","Atalanta BC","38","38","25,0","8","51,60 Mill. €","1,36 Mill. €",2010
"2","Torino FC ","Torino FC","46","46","24,1","14","39,13 Mill. €","851 Th. €",2010
"3","AC Siena ","AC Siena","41","41","24,9","12","30,95 Mill. €","755 Th. €",2010
"4","Frosinone Calcio ","Frosinone Calcio","48","48","23,8","9","23,80 Mill. €","496 Th. €",2010
"5","AS Livorno ","AS Livorno","36","36","23,4","9","22,85 Mill. €","635 Th. €",2010
"6","US Sassuolo ","US Sassuolo","41","41","24,0","4","22,45 Mill. €","548 Th. €",2010
"7","Calcio Padova ","Calcio Padova","44","44","22,6","13","21,75 Mill. €","494 Th. €",2010
"8","Reggina Calcio ","Reggina Calcio","45","45","23,1","12","21,63 Mill. €","481 Th. €",2010
"9","Vicenza Calcio ","Vicenza Calcio","45","45","23,3","10","20,10 Mill. €","447 Th. €",2010
"10","US Grosseto FC ","US Grosseto FC","46","46","23,7","11","18,70 Mill. €","407 Th. €",2010
"11","FC Empoli ","FC Empoli","39","39","21,8","8","17,40 Mill. €","446 Th. €",2010
"12","Ascoli Calcio 1898 ","Ascoli Calcio 1898","40","40","23,0","8","15,75 Mill. €","394 Th. €",2010
"13","FC Crotone ","FC Crotone","34","34","23,5","10","14,63 Mill. €","430 Th. €",2010
"14","Piacenza FC ","Piacenza FC","36","36","23,1","4","14,55 Mill. €","404 Th. €",2010
"15","US Triestina ","US Triestina","48","48","23,1","11","12,65 Mill. €","264 Th. €",2010
"16","Delfino Pescara 1936  ","Delfino Pescara 1936","47","47","24,1","2","12,28 Mill. €","261 Th. €",2010
"17","Modena FC ","Modena FC","38","38","23,1","4","11,00 Mill. €","289 Th. €",2010
"18","AS Cittadella ","AS Cittadella","33","33","25,8","5","10,75 Mill. €","326 Th. €",2010
"19","UC AlbinoLeffe ","UC AlbinoLeffe","47","47","23,3","5","10,20 Mill. €","217 Th. €",2010
"20","Varese 1910  ","Varese 1910","43","43","23,4","15","9,58 Mill. €","223 Th. €",2010
"21","Portogruaro Calcio ASD  ","Portogruaro Calcio ASD","43","43","23,7","5","9,20 Mill. €","214 Th. €",2010
"22","Novara Calcio 1908  ","Novara Calcio 1908","34","34","26,2","11","8,53 Mill. €","251 Th. €",2010
"23","Atalanta BC  ","Atalanta BC","38","38","25,0","8","51,60 Mill. €","1,36 Mill. €",2010
"24","Torino FC ","Torino FC","46","46","24,1","14","39,13 Mill. €","851 Th. €",2010
"25","AC Siena ","AC Siena","41","41","24,9","12","30,95 Mill. €","755 Th. €",2010
"26","Frosinone Calcio ","Frosinone Calcio","48","48","23,8","9","23,80 Mill. €","496 Th. €",2010
"27","AS Livorno ","AS Livorno","36","36","23,4","9","22,85 Mill. €","635 Th. €",2010
"28","US Sassuolo ","US Sassuolo","41","41","24,0","4","22,45 Mill. €","548 Th. €",2010
"29","Calcio Padova ","Calcio Padova","44","44","22,6","13","21,75 Mill. €","494 Th. €",2010
"30","Reggina Calcio ","Reggina Calcio","45","45","23,1","12","21,63 Mill. €","481 Th. €",2010
"31","Vicenza Calcio ","Vicenza Calcio","45","45","23,3","10","20,10 Mill. €","447 Th. €",2010
"32","US Grosseto FC ","US Grosseto FC","46","46","23,7","11","18,70 Mill. €","407 Th. €",2010
"33","FC Empoli ","FC Empoli","39","39","21,8","8","17,40 Mill. €","446 Th. €",2010
"34","Ascoli Calcio 1898 ","Ascoli Calcio 1898","40","40","23,0","8","15,75 Mill. €","394 Th. €",2010
"35","FC Crotone ","FC Crotone","34","34","23,5","10","14,63 Mill. €","430 Th. €",2010
"36","Piacenza FC ","Piacenza FC","36","36","23,1","4","14,55 Mill. €","404 Th. €",2010
"37","US Triestina ","US Triestina","48","48","23,1","11","12,65 Mill. €","264 Th. €",2010
"38","Delfino Pescara 1936  ","Delfino Pescara 1936","47","47","24,1","2","12,28 Mill. €","261 Th. €",2010
"39","Modena FC ","Modena FC","38","38","23,1","4","11,00 Mill. €","289 Th. €",2010
"40","AS Cittadella ","AS Cittadella","33","33","25,8","5","10,75 Mill. €","326 Th. €",2010
"41","UC AlbinoLeffe ","UC AlbinoLeffe","47","47","23,3","5","10,20 Mill. €","217 Th. €",2010
"42","Varese 1910  ","Varese 1910","43","43","23,4","15","9,58 Mill. €","223 Th. €",2010
"43","Portogruaro Calcio ASD  ","Portogruaro Calcio ASD","43","43","23,7","5","9,20 Mill. €","214 Th. €",2010
"44","Novara Calcio 1908  ","Novara Calcio 1908","34","34","26,2","11","8,53 Mill. €","251 Th. €",2010
"45","UC Sampdoria  ","UC Sampdoria","42","42","24,4","16","74,18 Mill. €","1,77 Mill. €",2011
"46","Torino FC ","Torino FC","34","34","25,4","10","31,95 Mill. €","940 Th. €",2011
"47","AS Bari  ","AS Bari","47","47","23,5","18","25,58 Mill. €","544 Th. €",2011
"48","Brescia Calcio  ","Brescia Calcio","42","42","22,7","17","25,28 Mill. €","602 Th. €",2011
"49","Calcio Padova ","Calcio Padova","41","41","23,2","11","22,23 Mill. €","542 Th. €",2011
