Erzgebirge Aue;Aue
Fortuna Dusseldorf;Duesseldorf
Ein Frankfurt;Frankfurt
Frankfurt FSV;FSV Frankfurt
Greuther Furth;Fuerth
Holstein Kiel;Holstein
FC Koln;Koeln
Kaiserslautern;Lautern
Munich 1860;Muenchen 60
Nurnberg;Nuernberg
Osnabruck;Osnabrueck
Paderborn;RB Leipzig
RB Leipzig;Regensburg
Hansa Rostock;Rostock
Wehen Wiesbaden;Wehen
Wurzburger Kickers;Wuerzburg
Nott'm Forest;Forest
Milton Keynes Dons;MK Dons
Rio Ave;Rio Ave
Moreirense;Moreirense
Nacional;Nacional
Penafiel;Penafiel
Gil Vicente;Gil Vicente
Famalicao;Famalicao
Uniao Madeira;U Madeira
Maritimo;Maritimo
Aves;Aves
Benfica;Benfica
Santa Clara;Santa Clara
Sp Lisbon;Sporting
Sp Braga;Braga
Guimaraes;Guimaraes
Portimonense;Portimonense
Boavista;Boavista
Feirense;Feirense
Setubal;Setubal
Belenenses;Belenenses
Estoril;Estoril
Tondela;Tondela
Arouca;Arouca
Pacos Ferreira;Pacos Ferreira
Porto;Porto
Chaves;Chaves
Academica;Academica
Aston Aston Villa
Blackburn;Blackburn
Bolton;Bolton
Chelsea;Chelsea
Everton;Everton
Portsmouth;Portsmouth
Stoke;Stoke
Wolves;Wolves
Man United;Man United
Tottenham;Tottenham
Sunderland;Sunderland
Wigan;Wigan
Birmingham;Birmingham
Burnley;Burnley
Hull;Hull
Liverpool;Liverpool
Arsenal;Arsenal
Man City;Man City
Fulham;Fulham
West Ham;West Ham
West Brom;West Brom
Newcastle;Newcastle
Blackpool;Blackpool
QPR;QPR
Swansea;Swansea
Norwich;Norwich
Reading;Reading
Southampton;Southampton
Crystal Palace;Crystal Palace
Cardiff;Cardiff
Leicester;Leicester
Bournemouth;Bournemouth
Watford;Watford
Middlesbrough;Middlesbrough
Brighton;Brighton
Huddersfield;Huddersfield
Sheffield United;Sheffield United
Wolfsburg;Wolfsburg
Dortmund;Dortmund
Hertha;Hertha
