Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kaiserslautern,1.0,,,3.0,4.0,4.0,10.0,13.0,18.0,
St Pauli,2.0,,4.0,10.0,8.0,15.0,4.0,7.0,12.0,9.0
Augsburg,3.0,2.0,,,,,,,,
Fortuna Dusseldorf,4.0,7.0,3.0,,6.0,10.0,14.0,11.0,1.0,
Paderborn,5.0,12.0,5.0,12.0,2.0,,18.0,,,2.0
Duisburg,6.0,8.0,10.0,11.0,,,16.0,,7.0,18.0
Bielefeld,7.0,18.0,,,16.0,,12.0,15.0,4.0,7.0
Munich 1860,8.0,9.0,6.0,6.0,7.0,16.0,15.0,16.0,,
Cottbus,9.0,6.0,14.0,8.0,18.0,,,,,
Karlsruhe,10.0,15.0,16.0,,5.0,3.0,7.0,18.0,,
Greuther Furth,11.0,4.0,1.0,,3.0,14.0,9.0,8.0,15.0,13.0
Union Berlin,12.0,11.0,7.0,7.0,9.0,7.0,6.0,4.0,8.0,3.0
Aachen,13.0,10.0,17.0,,,,,,,
Oberhausen,14.0,17.0,,,,,,,,
Frankfurt FSV,15.0,13.0,13.0,4.0,13.0,13.0,17.0,,,
Hansa Rostock,16.0,,18.0,,,,,,,
Koblenz,17.0,,,,,,,,,
Ahlen,18.0,,,,,,,,,
Hertha,,1.0,,1.0,,,,,,
Bochum,,3.0,11.0,14.0,15.0,11.0,5.0,9.0,6.0,11.0
Erzgebirge Aue,,5.0,15.0,15.0,14.0,17.0,,14.0,16.0,14.0
Ingolstadt,,14.0,12.0,13.0,10.0,1.0,,,9.0,16.0
Osnabruck,,16.0,,,,,,,,
Ein Frankfurt,,,2.0,,,,,,,
Braunschweig,,,8.0,2.0,,6.0,8.0,3.0,17.0,
Dresden,,,9.0,16.0,17.0,,,5.0,14.0,12.0
FC Koln,,,,5.0,1.0,,,,,1.0
Aalen,,,,9.0,11.0,18.0,,,,
Sandhausen,,,,17.0,12.0,12.0,13.0,10.0,11.0,15.0
Regensburg,,,,18.0,,,,,5.0,8.0
Darmstadt,,,,,,2.0,,,10.0,10.0
RB Leipzig,,,,,,5.0,2.0,,,
Heidenheim,,,,,,8.0,11.0,6.0,13.0,5.0
Nurnberg,,,,,,9.0,3.0,12.0,2.0,
Freiburg,,,,,,,1.0,,,
Stuttgart,,,,,,,,1.0,,
Hannover,,,,,,,,2.0,,
Wurzburger Kickers,,,,,,,,17.0,,
Holstein Kiel,,,,,,,,,3.0,6.0
Hamburg,,,,,,,,,,4.0
Magdeburg,,,,,,,,,,17.0
Wehen,,,,,,,,,,
