Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bayern Munich,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Schalke 04,2.0,14.0,3.0,4.0,3.0,6.0,5.0,10.0,2.0,14.0
Werder Bremen,3.0,13.0,9.0,14.0,12.0,10.0,13.0,8.0,11.0,8.0
Leverkusen,4.0,2.0,5.0,3.0,4.0,4.0,3.0,12.0,5.0,4.0
Dortmund,5.0,1.0,1.0,2.0,2.0,7.0,2.0,3.0,4.0,2.0
Stuttgart,6.0,12.0,6.0,12.0,15.0,14.0,17.0,,7.0,16.0
Hamburg,7.0,8.0,15.0,7.0,16.0,16.0,10.0,14.0,17.0,
Wolfsburg,8.0,15.0,8.0,11.0,5.0,2.0,8.0,16.0,16.0,6.0
Mainz,9.0,5.0,13.0,13.0,7.0,11.0,6.0,15.0,14.0,12.0
Ein Frankfurt,10.0,17.0,,6.0,13.0,9.0,16.0,11.0,8.0,7.0
Hoffenheim,11.0,11.0,11.0,16.0,9.0,8.0,15.0,4.0,3.0,9.0
M'gladbach,12.0,16.0,4.0,8.0,6.0,3.0,4.0,9.0,9.0,5.0
FC Koln,13.0,10.0,17.0,,,12.0,9.0,5.0,18.0,
Freiburg,14.0,9.0,12.0,5.0,14.0,17.0,,7.0,15.0,13.0
Hannover,15.0,4.0,7.0,9.0,10.0,13.0,18.0,,13.0,17.0
Nurnberg,16.0,6.0,10.0,10.0,17.0,,,,,18.0
Bochum,17.0,,,,,,,,,
Hertha,18.0,,16.0,,11.0,15.0,7.0,6.0,10.0,11.0
Kaiserslautern,,7.0,18.0,,,,,,,
St Pauli,,18.0,,,,,,,,
Augsburg,,,14.0,15.0,8.0,5.0,12.0,13.0,12.0,15.0
Fortuna Dusseldorf,,,,17.0,,,,,,10.0
Greuther Furth,,,,18.0,,,,,,
Braunschweig,,,,,18.0,,,,,
Paderborn,,,,,,18.0,,,,
Ingolstadt,,,,,,,11.0,17.0,,
Darmstadt,,,,,,,14.0,18.0,,
RB Leipzig,,,,,,,,2.0,6.0,3.0
