Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Newcastle,1.0,,,,,,,1.0,,
West Brom,2.0,,,,,,,,,4.0
Nott'm Forest,3.0,6.0,19.0,8.0,11.0,14.0,16.0,21.0,17.0,9.0
Cardiff,4.0,4.0,6.0,1.0,,11.0,8.0,12.0,2.0,
Leicester,5.0,10.0,9.0,6.0,1.0,,,,,
Blackpool,6.0,,5.0,15.0,20.0,24.0,,,,
Swansea,7.0,3.0,,,,,,,,10.0
Sheffield United,8.0,23.0,,,,,,,10.0,2.0
Reading,9.0,5.0,1.0,,7.0,19.0,17.0,3.0,20.0,20.0
Bristol City,10.0,15.0,20.0,24.0,,,18.0,17.0,11.0,8.0
Middlesbrough,11.0,12.0,7.0,16.0,12.0,4.0,2.0,,5.0,7.0
Doncaster,12.0,21.0,24.0,,22.0,,,,,
QPR,13.0,1.0,,,4.0,,12.0,18.0,16.0,19.0
Derby,14.0,19.0,12.0,10.0,3.0,8.0,5.0,9.0,6.0,6.0
Ipswich,15.0,13.0,15.0,14.0,9.0,6.0,7.0,16.0,12.0,24.0
Watford,16.0,14.0,11.0,3.0,13.0,2.0,,,,
Preston,17.0,22.0,,,,,11.0,11.0,7.0,14.0
Barnsley,18.0,17.0,21.0,21.0,23.0,,,14.0,22.0,
Coventry,19.0,18.0,23.0,,,,,,,
Scunthorpe,20.0,24.0,,,,,,,,
Crystal Palace,21.0,20.0,17.0,5.0,,,,,,
Sheffield Weds,22.0,,,18.0,16.0,13.0,6.0,4.0,15.0,12.0
Plymouth,23.0,,,,,,,,,
Peterboro,24.0,,18.0,22.0,,,,,,
Norwich,,2.0,,,,3.0,,8.0,14.0,1.0
Leeds,,7.0,14.0,13.0,15.0,15.0,13.0,7.0,13.0,3.0
Burnley,,8.0,13.0,11.0,2.0,,1.0,,,
Millwall,,9.0,16.0,20.0,19.0,22.0,,,8.0,21.0
Hull,,11.0,8.0,2.0,,,4.0,,18.0,13.0
Portsmouth,,16.0,22.0,,,,,,,
Southampton,,,2.0,,,,,,,
West Ham,,,3.0,,,,,,,
Birmingham,,,4.0,12.0,21.0,10.0,10.0,19.0,19.0,17.0
Brighton,,,10.0,4.0,6.0,20.0,3.0,2.0,,
Bolton,,,,7.0,14.0,18.0,24.0,,21.0,23.0
Charlton,,,,9.0,18.0,12.0,22.0,,,
Blackburn,,,,17.0,8.0,9.0,15.0,22.0,,15.0
Huddersfield,,,,19.0,17.0,16.0,19.0,5.0,,
Wolves,,,,23.0,,7.0,14.0,15.0,1.0,
Wigan,,,,,5.0,23.0,,23.0,,18.0
Bournemouth,,,,,10.0,1.0,,,,
Yeovil,,,,,24.0,,,,,
Brentford,,,,,,5.0,9.0,10.0,9.0,11.0
Fulham,,,,,,17.0,20.0,6.0,3.0,
Rotherham,,,,,,21.0,21.0,24.0,,22.0
Milton Keynes Dons,,,,,,,23.0,,,
Aston Villa,,,,,,,,13.0,4.0,5.0
Burton,,,,,,,,20.0,23.0,
Sunderland,,,,,,,,,24.0,
Stoke,,,,,,,,,,16.0
