Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
De Graafschap,1.0,,,8.0,7.0,6.0,,12.0,4.0,
Cambuur,2.0,5.0,7.0,1.0,,,,3.0,8.0,10.0
Excelsior,3.0,,,15.0,3.0,,,,,
PEC Zwolle,4.0,2.0,1.0,,,,,,,
Go Ahead Eagles,5.0,7.0,9.0,6.0,,,5.0,,17.0,5.0
AGOVV,6.0,15.0,17.0,17.0,,,,,,
Den Bosch,7.0,8.0,6.0,11.0,4.0,16.0,17.0,14.0,11.0,4.0
Helmond Sport,8.0,3.0,4.0,4.0,13.0,17.0,13.0,13.0,,
Veendam,9.0,4.0,16.0,18.0,,,,,,
MVV,10.0,10.0,8.0,5.0,11.0,11.0,10.0,7.0,10.0,12.0
RBC,11.0,17.0,,,,,,,,
Eindhoven,12.0,12.0,3.0,16.0,6.0,2.0,4.0,11.0,12.0,14.0
Dordrecht,13.0,11.0,10.0,9.0,2.0,,14.0,,13.0,17.0
Almere City,14.0,18.0,13.0,13.0,18.0,10.0,8.0,8.0,9.0,7.0
Emmen,15.0,13.0,18.0,12.0,12.0,4.0,7.0,9.0,7.0,
Volendam,16.0,6.0,12.0,2.0,9.0,5.0,6.0,6.0,14.0,16.0
Fortuna Sittard,17.0,16.0,11.0,7.0,8.0,,16.0,17.0,2.0,
Telstar,18.0,14.0,15.0,14.0,15.0,15.0,12.0,16.0,6.0,15.0
RKC Waalwijk,,1.0,,,,,18.0,10.0,18.0,8.0
Sparta Rotterdam,,9.0,2.0,3.0,16.0,8.0,1.0,,,2.0
Willem II,,,5.0,,1.0,,,,,
TOP Oss,,,14.0,10.0,,9.0,,15.0,15.0,6.0
VVV,,,,,5.0,7.0,2.0,1.0,,
PSV II,,,,,10.0,14.0,11.0,4.0,5.0,3.0
Ajax II,,,,,14.0,12.0,9.0,2.0,1.0,11.0
Twente II,,,,,17.0,13.0,,,,
NEC,,,,,,1.0,,,3.0,9.0
Roda JC,,,,,,3.0,,,,13.0
Achilles '29,,,,,,18.0,15.0,,,
NAC Breda,,,,,,,3.0,5.0,,
Utrecht II,,,,,,,,18.0,,
AZ II,,,,,,,,,16.0,18.0
Twente,,,,,,,,,,1.0
