Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Twente,1.0,2.0,6.0,6.0,3.0,10.0,13.0,7.0,18.0,
Ajax,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0
PSV Eindhoven,3.0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,1.0,2.0
Feyenoord,4.0,10.0,2.0,3.0,2.0,4.0,3.0,1.0,4.0,3.0
AZ Alkmaar,5.0,4.0,4.0,10.0,8.0,3.0,4.0,6.0,3.0,4.0
Heracles,6.0,8.0,12.0,12.0,14.0,14.0,6.0,10.0,10.0,7.0
Utrecht,7.0,9.0,11.0,5.0,10.0,11.0,5.0,4.0,5.0,6.0
Groningen,8.0,5.0,14.0,7.0,7.0,8.0,7.0,8.0,12.0,8.0
Roda,9.0,6.0,10.0,16.0,18.0,,14.0,17.0,16.0,
NAC Breda,10.0,13.0,13.0,13.0,15.0,16.0,,,14.0,18.0
Heerenveen,11.0,12.0,5.0,8.0,5.0,7.0,12.0,9.0,8.0,11.0
VVV Venlo,12.0,17.0,16.0,17.0,,,,,15.0,12.0
Nijmegen,13.0,11.0,8.0,15.0,17.0,,10.0,16.0,,
Vitesse,14.0,15.0,7.0,4.0,6.0,5.0,9.0,5.0,6.0,5.0
Den Haag,15.0,7.0,15.0,9.0,9.0,13.0,11.0,11.0,7.0,9.0
Sparta Rotterdam,16.0,,,,,,,15.0,17.0,
Willem II,17.0,18.0,,18.0,,9.0,16.0,13.0,13.0,10.0
Waalwijk,18.0,,9.0,14.0,16.0,,,,,
Graafschap,,14.0,17.0,,,,17.0,,,17.0
Excelsior,,16.0,18.0,,,15.0,15.0,12.0,11.0,16.0
Zwolle,,,,11.0,11.0,6.0,8.0,14.0,9.0,13.0
Cambuur,,,,,12.0,12.0,18.0,,,
Go Ahead Eagles,,,,,13.0,17.0,,18.0,,
Dordrecht,,,,,,18.0,,,,
FC Emmen,,,,,,,,,,14.0
For Sittard,,,,,,,,,,15.0
