Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Marseille,1.0,2.0,10.0,2.0,6.0,4.0,13.0,5.0,4.0,5.0
Lyon,2.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,3.0,3.0
Auxerre,3.0,9.0,20.0,,,,,,,
Lille,4.0,1.0,3.0,6.0,3.0,8.0,5.0,12.0,17.0,2.0
Montpellier,5.0,14.0,1.0,9.0,15.0,7.0,12.0,15.0,10.0,6.0
Bordeaux,6.0,7.0,5.0,7.0,7.0,6.0,11.0,6.0,6.0,14.0
Lorient,7.0,11.0,17.0,8.0,8.0,16.0,15.0,18.0,,
Monaco,8.0,18.0,,,2.0,3.0,3.0,1.0,2.0,17.0
Rennes,9.0,6.0,6.0,13.0,12.0,9.0,8.0,8.0,5.0,10.0
Valenciennes,10.0,12.0,12.0,11.0,19.0,,,,,
Lens,11.0,19.0,,,,20.0,,,,
Nancy,12.0,13.0,11.0,18.0,,,,19.0,,
Paris SG,13.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Toulouse,14.0,8.0,8.0,10.0,9.0,17.0,17.0,13.0,18.0,16.0
Nice,15.0,17.0,13.0,4.0,17.0,11.0,4.0,3.0,8.0,7.0
Sochaux,16.0,5.0,14.0,15.0,18.0,,,,,
St Etienne,17.0,10.0,7.0,5.0,4.0,5.0,6.0,9.0,7.0,4.0
Le Mans,18.0,,,,,,,,,
Boulogne,19.0,,,,,,,,,
Grenoble,20.0,,,,,,,,,
Caen,,15.0,18.0,,,13.0,7.0,17.0,16.0,19.0
Brest,,16.0,15.0,20.0,,,,,,
Arles,,20.0,,,,,,,,
Evian Thonon Gaillard,,,9.0,16.0,14.0,18.0,,,,
Ajaccio,,,16.0,17.0,20.0,,,,,
Dijon,,,19.0,,,,,16.0,11.0,18.0
Bastia,,,,12.0,10.0,12.0,10.0,20.0,,
Reims,,,,14.0,11.0,15.0,18.0,,,8.0
Troyes,,,,19.0,,,20.0,,19.0,
Nantes,,,,,13.0,14.0,14.0,7.0,9.0,12.0
Guingamp,,,,,16.0,10.0,16.0,10.0,12.0,20.0
Metz,,,,,,19.0,,14.0,20.0,
Angers,,,,,,,9.0,11.0,14.0,13.0
Ajaccio GFCO,,,,,,,19.0,,,
Amiens,,,,,,,,,13.0,15.0
Strasbourg,,,,,,,,,15.0,11.0
Nimes,,,,,,,,,,9.0
