Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Benfica,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0
Sp Braga,2.0,4.0,3.0,4.0,9.0,4.0,4.0,5.0,4.0,4.0
Porto,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0
Sp Lisbon,4.0,3.0,4.0,7.0,2.0,3.0,2.0,3.0,3.0,3.0
Maritimo,5.0,9.0,5.0,10.0,6.0,9.0,13.0,6.0,7.0,11.0
Guimaraes,6.0,5.0,6.0,9.0,10.0,5.0,10.0,4.0,9.0,5.0
Nacional,7.0,6.0,7.0,8.0,5.0,7.0,11.0,18.0,,17.0
Naval,8.0,16.0,,,,,,,,
Leiria,9.0,10.0,16.0,,,,,,,
Pacos Ferreira,10.0,7.0,10.0,3.0,15.0,8.0,7.0,13.0,17.0,
Academica,11.0,14.0,12.0,11.0,8.0,15.0,18.0,,,
Rio Ave,12.0,8.0,14.0,6.0,11.0,10.0,6.0,7.0,5.0,7.0
Olhanense,13.0,11.0,8.0,14.0,16.0,,,,,
Setubal,14.0,12.0,11.0,12.0,7.0,14.0,15.0,12.0,14.0,13.0
Belenenses,15.0,,,,14.0,6.0,9.0,14.0,12.0,9.0
Leixoes,16.0,,,,,,,,,
Beira Mar,,13.0,13.0,16.0,,,,,,
Portimonense,,15.0,,,,,,,10.0,12.0
Gil Vicente,,,9.0,13.0,13.0,17.0,,,,
Feirense,,,15.0,,,,,8.0,16.0,18.0
Estoril,,,,5.0,4.0,12.0,8.0,10.0,18.0,
Moreirense,,,,15.0,,11.0,12.0,15.0,15.0,6.0
Arouca,,,,,12.0,16.0,5.0,17.0,,
Boavista,,,,,,13.0,14.0,9.0,8.0,8.0
Penafiel,,,,,,18.0,,,,
Tondela,,,,,,,16.0,16.0,11.0,15.0
Uniao Madeira,,,,,,,17.0,,,
Chaves,,,,,,,,11.0,6.0,16.0
Aves,,,,,,,,,13.0,14.0
Santa Clara,,,,,,,,,,10.0
