Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chelsea,1.0,2.0,6.0,3.0,3.0,1.0,10.0,1.0,5.0,3.0
Man United,2.0,1.0,2.0,1.0,7.0,4.0,5.0,6.0,2.0,6.0
Arsenal,3.0,4.0,3.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0
Tottenham,4.0,5.0,4.0,5.0,6.0,5.0,3.0,2.0,3.0,4.0
Man City,5.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0
Aston Villa,6.0,9.0,16.0,15.0,15.0,17.0,20.0,,,
Liverpool,7.0,6.0,8.0,7.0,2.0,6.0,8.0,4.0,4.0,2.0
Everton,8.0,7.0,7.0,6.0,5.0,11.0,11.0,7.0,8.0,8.0
Birmingham,9.0,18.0,,,,,,,,
Blackburn,10.0,15.0,19.0,,,,,,,
Stoke,11.0,13.0,14.0,13.0,9.0,9.0,9.0,13.0,19.0,
Fulham,12.0,8.0,9.0,12.0,19.0,,,,,19.0
Sunderland,13.0,10.0,13.0,17.0,14.0,16.0,17.0,20.0,,
Bolton,14.0,14.0,18.0,,,,,,,
Wolves,15.0,17.0,20.0,,,,,,,7.0
Wigan,16.0,16.0,15.0,18.0,,,,,,
West Ham,17.0,20.0,,10.0,13.0,12.0,7.0,11.0,13.0,10.0
Burnley,18.0,,,,,19.0,,16.0,7.0,15.0
Hull,19.0,,,,16.0,18.0,,18.0,,
Portsmouth,20.0,,,,,,,,,
West Brom,,11.0,10.0,8.0,17.0,13.0,14.0,10.0,20.0,
Newcastle,,12.0,5.0,16.0,10.0,15.0,18.0,,10.0,13.0
Blackpool,,19.0,,,,,,,,
Swansea,,,11.0,9.0,12.0,8.0,12.0,15.0,18.0,
Norwich,,,12.0,11.0,18.0,,19.0,,,
QPR,,,17.0,20.0,,20.0,,,,
Southampton,,,,14.0,8.0,7.0,6.0,8.0,17.0,16.0
Reading,,,,19.0,,,,,,
Crystal Palace,,,,,11.0,10.0,15.0,14.0,11.0,12.0
Cardiff,,,,,20.0,,,,,18.0
Leicester,,,,,,14.0,1.0,12.0,9.0,9.0
Watford,,,,,,,13.0,17.0,14.0,11.0
Bournemouth,,,,,,,16.0,9.0,12.0,14.0
Middlesbrough,,,,,,,,19.0,,
Brighton,,,,,,,,,15.0,17.0
Huddersfield,,,,,,,,,16.0,20.0
