Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Barcelona,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0
Real Madrid,2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0
Valencia,3.0,3.0,3.0,5.0,8.0,4.0,12.0,12.0,4.0,4.0
Sevilla,4.0,7.0,9.0,9.0,5.0,5.0,7.0,4.0,7.0,6.0
Mallorca,5.0,17.0,8.0,18.0,,,,,,
Getafe,6.0,16.0,11.0,10.0,13.0,15.0,19.0,,8.0,5.0
Villarreal,7.0,4.0,18.0,,6.0,6.0,4.0,5.0,5.0,14.0
Ath Bilbao,8.0,6.0,10.0,12.0,4.0,7.0,5.0,7.0,16.0,8.0
Ath Madrid,9.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0
La Coruna,10.0,18.0,,19.0,,16.0,15.0,16.0,18.0,
Espanol,11.0,8.0,14.0,13.0,14.0,10.0,14.0,8.0,11.0,7.0
Osasuna,12.0,9.0,7.0,16.0,18.0,,,19.0,,
Almeria,13.0,20.0,,,17.0,19.0,,,,
Zaragoza,14.0,13.0,16.0,20.0,,,,,,
Sp Gijon,15.0,10.0,19.0,,,,17.0,18.0,,
Santander,16.0,12.0,20.0,,,,,,,
Malaga,17.0,11.0,4.0,6.0,11.0,9.0,8.0,11.0,20.0,
Valladolid,18.0,,,14.0,19.0,,,,,16.0
Tenerife,19.0,,,,,,,,,
Xerez,20.0,,,,,,,,,
Levante,,14.0,6.0,11.0,10.0,14.0,20.0,,15.0,15.0
Sociedad,,15.0,12.0,4.0,7.0,12.0,9.0,6.0,12.0,9.0
Hercules,,19.0,,,,,,,,
Betis,,,13.0,7.0,20.0,,10.0,15.0,6.0,10.0
Vallecano,,,15.0,8.0,12.0,11.0,18.0,,,20.0
Granada,,,17.0,15.0,15.0,17.0,16.0,20.0,,
Celta,,,,17.0,9.0,8.0,6.0,13.0,13.0,17.0
Elche,,,,,16.0,13.0,,,,
Eibar,,,,,,18.0,13.0,10.0,9.0,12.0
Cordoba,,,,,,20.0,,,,
Las Palmas,,,,,,,11.0,14.0,19.0,
Alaves,,,,,,,,9.0,14.0,11.0
Leganes,,,,,,,,17.0,17.0,13.0
Girona,,,,,,,,,10.0,18.0
Huesca,,,,,,,,,,19.0
