Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Sociedad,1.0,,,,,,,,,
Hercules,2.0,,5.0,18.0,,,,,,
Levante,3.0,,,,,,,1.0,,
Betis,4.0,1.0,,,,1.0,,,,
Cartagena,5.0,13.0,20.0,,,,,,,
Elche,6.0,4.0,11.0,1.0,,,11.0,,,11.0
Villarreal B,7.0,17.0,12.0,,,,,,,
Numancia,8.0,10.0,10.0,12.0,13.0,12.0,10.0,17.0,6.0,17.0
Recreativo,9.0,12.0,17.0,14.0,8.0,20.0,,,,
Cordoba,10.0,16.0,6.0,13.0,7.0,,5.0,10.0,16.0,
Vallecano,11.0,2.0,,,,,,12.0,1.0,
Celta,12.0,6.0,2.0,,,,,,,
Huesca,13.0,14.0,13.0,,,,12.0,6.0,2.0,
Girona,14.0,11.0,15.0,4.0,16.0,3.0,4.0,2.0,,
Albacete,15.0,,,,,14.0,,,17.0,4.0
Salamanca,16.0,19.0,,,,,,,,
Las Palmas,17.0,15.0,9.0,6.0,6.0,4.0,,,,12.0
Gimnastic,18.0,18.0,,,,,3.0,14.0,15.0,20.0
Cadiz,19.0,,,,,,,5.0,9.0,7.0
Murcia,20.0,,18.0,19.0,4.0,,,,,
Barcelona B,,3.0,8.0,9.0,3.0,,,,20.0,
Granada,,5.0,,,,,,,10.0,2.0
Valladolid,,7.0,3.0,,,5.0,16.0,7.0,5.0,
Xerez,,8.0,14.0,,,,,,,
Alcorcon,,9.0,4.0,5.0,9.0,11.0,7.0,18.0,13.0,14.0
Tenerife,,20.0,,,11.0,17.0,13.0,4.0,11.0,16.0
La Coruna,,,1.0,,2.0,,,,,6.0
Almeria,,,7.0,3.0,,,18.0,15.0,18.0,10.0
Guadalajara,,,16.0,17.0,,,,,,
Sabadell,,,19.0,15.0,10.0,,,,,
Villarreal,,,,2.0,,,,,,
Ponferradina,,,,7.0,15.0,7.0,19.0,,,
Real Madrid B,,,,8.0,20.0,,,,,
Sp Gijon,,,,10.0,5.0,2.0,,,4.0,9.0
Lugo,,,,11.0,12.0,15.0,14.0,9.0,12.0,18.0
Mirandes,,,,16.0,19.0,8.0,15.0,,,
Santander,,,,20.0,,19.0,,,,
Eibar,,,,,1.0,,,,,
Zaragoza,,,,,14.0,6.0,8.0,16.0,3.0,15.0
Mallorca,,,,,17.0,16.0,17.0,20.0,,5.0
Alaves,,,,,18.0,13.0,1.0,,,
Llagostera,,,,,,9.0,20.0,,,
Leganes,,,,,,10.0,2.0,,,
Osasuna,,,,,,18.0,6.0,,8.0,1.0
Oviedo,,,,,,,9.0,8.0,7.0,8.0
Getafe,,,,,,,,3.0,,
Reus Deportiu,,,,,,,,11.0,14.0,
Sevilla B,,,,,,,,13.0,,
UCAM Murcia,,,,,,,,19.0,,
Leonesa,,,,,,,,,19.0,
Malaga,,,,,,,,,,3.0
Extremadura UD,,,,,,,,,,13.0
Rayo Majadahonda,,,,,,,,,,19.0
