Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Inter,1.0,2.0,6.0,9.0,5.0,8.0,4.0,7.0,4.0,4.0
Roma,2.0,6.0,7.0,6.0,2.0,2.0,3.0,2.0,3.0,6.0
Milan,3.0,1.0,2.0,3.0,8.0,10.0,7.0,6.0,6.0,5.0
Sampdoria,4.0,18.0,,14.0,12.0,7.0,15.0,11.0,10.0,9.0
Palermo,5.0,8.0,16.0,18.0,,11.0,16.0,19.0,,
Napoli,6.0,3.0,5.0,2.0,3.0,5.0,2.0,3.0,2.0,2.0
Juventus,7.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Parma,8.0,12.0,8.0,10.0,6.0,20.0,,,,14.0
Genoa,9.0,10.0,17.0,17.0,13.0,6.0,10.0,16.0,12.0,17.0
Bari,10.0,20.0,,,,,,,,
Fiorentina,11.0,9.0,13.0,4.0,4.0,4.0,5.0,8.0,8.0,16.0
Lazio,12.0,5.0,4.0,7.0,9.0,3.0,8.0,5.0,5.0,8.0
Catania,13.0,13.0,11.0,8.0,18.0,,,,,
Chievo,14.0,11.0,10.0,12.0,16.0,14.0,9.0,14.0,13.0,20.0
Udinese,15.0,4.0,3.0,5.0,14.0,16.0,17.0,13.0,14.0,12.0
Cagliari,16.0,14.0,15.0,11.0,15.0,18.0,,12.0,16.0,15.0
Bologna,17.0,16.0,9.0,13.0,19.0,,14.0,15.0,15.0,10.0
Atalanta,18.0,,12.0,15.0,11.0,17.0,13.0,4.0,7.0,3.0
Siena,19.0,,14.0,19.0,,,,,,
Livorno,20.0,,,,20.0,,,,,
Cesena,,15.0,20.0,,,19.0,,,,
Lecce,,17.0,18.0,,,,,,,
Brescia,,19.0,,,,,,,,
Novara,,,19.0,,,,,,,
Torino,,,,16.0,7.0,9.0,12.0,9.0,9.0,7.0
Pescara,,,,20.0,,,,20.0,,
Verona,,,,,10.0,13.0,20.0,,19.0,
Sassuolo,,,,,17.0,12.0,6.0,10.0,11.0,11.0
Empoli,,,,,,15.0,11.0,18.0,,18.0
Carpi,,,,,,,18.0,,,
Frosinone,,,,,,,19.0,,,19.0
Crotone,,,,,,,,17.0,18.0,
Spal,,,,,,,,,17.0,13.0
Benevento,,,,,,,,,20.0,
