Team,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Lecce,1.0,,,,,,,,,2.0
Cesena,2.0,,,14.0,4.0,,6.0,13.0,13.0,
Brescia,3.0,,8.0,6.0,11.0,,11.0,15.0,16.0,1.0
Sassuolo,4.0,16.0,3.0,1.0,,,,,,
Torino,5.0,8.0,2.0,,,,,,,
Cittadella,6.0,14.0,16.0,15.0,17.0,19.0,,6.0,6.0,7.0
Grosseto,7.0,15.0,14.0,,,,,,,
Crotone,8.0,11.0,11.0,12.0,7.0,16.0,2.0,,,11.0
Ascoli,9.0,17.0,15.0,,,,15.0,16.0,18.0,12.0
Empoli,10.0,9.0,18.0,4.0,2.0,,,,1.0,
Albinoleffe,11.0,18.0,,,,,,,,
Modena,12.0,10.0,12.0,8.0,5.0,17.0,,,,
Reggina,13.0,6.0,10.0,17.0,,,,,,
Vicenza,14.0,12.0,19.0,19.0,,3.0,13.0,,,
Piacenza,15.0,19.0,,,,,,,,
Frosinone,16.0,,,,,2.0,,3.0,3.0,
Ancona,17.0,,,,,,,,,
Triestina,18.0,,,,,,,,,
Padova,19.0,5.0,7.0,11.0,,,,,,
Atalanta,,1.0,,,,,,,,
Siena,,2.0,,,9.0,,,,,
Novara,,3.0,,5.0,19.0,,8.0,9.0,,
Varese,,4.0,5.0,7.0,18.0,,,,,
Livorno,,7.0,17.0,3.0,,9.0,,,,13.0
Pescara,,13.0,1.0,,15.0,7.0,4.0,,17.0,4.0
Verona,,,4.0,2.0,,,,2.0,,5.0
Sampdoria,,,6.0,,,,,,,
Juve Stabia,,,9.0,16.0,,,,,,
Bari,,,13.0,10.0,6.0,10.0,5.0,12.0,7.0,
Ternana,,,,9.0,16.0,12.0,12.0,18.0,,
Spezia,,,,13.0,8.0,5.0,7.0,8.0,10.0,6.0
Virtus Lanciano,,,,18.0,10.0,14.0,19.0,,,
Palermo,,,,,1.0,,,,4.0,19.0
Latina,,,,,3.0,13.0,16.0,,,
Avellino,,,,,12.0,8.0,14.0,14.0,15.0,
Carpi,,,,,13.0,1.0,,7.0,11.0,18.0
Trapani,,,,,14.0,11.0,3.0,19.0,,
Bologna,,,,,,4.0,,,,
Perugia,,,,,,6.0,10.0,4.0,8.0,8.0
Pro Vercelli,,,,,,15.0,17.0,17.0,,
Virtus Entella,,,,,,18.0,9.0,11.0,19.0,
Cagliari,,,,,,,1.0,,,
Salernitana,,,,,,,18.0,10.0,12.0,15.0
Spal,,,,,,,,1.0,,
Benevento,,,,,,,,5.0,,3.0
Parma,,,,,,,,,2.0,
Venezia,,,,,,,,,5.0,14.0
Foggia,,,,,,,,,9.0,16.0
Cremonese,,,,,,,,,14.0,9.0
Cosenza,,,,,,,,,,10.0
Padova,,,,,,,,,,17.0
